tau,B_norm_chi5,env_rms_chi5,B_norm_chi4,env_rms_chi4
31.1000,0.346899,0.306360,0.626915,0.363259
31.1500,-0.066181,0.307477,0.400461,0.364558
31.2000,-0.098917,0.319202,0.041726,0.366169
31.2500,-0.143439,0.359992,0.210132,0.378062
31.3000,-0.006050,0.366312,0.080846,0.385988
31.3500,-0.004624,0.358486,-0.393721,0.386273
31.4000,-0.201119,0.365466,-0.300734,0.386276
31.4500,-0.420096,0.364850,-0.211293,0.388714
31.5000,-0.625897,0.364274,-0.311439,0.394343
31.5500,-0.611307,0.362632,-0.181593,0.393543
31.6000,-0.158878,0.363843,-0.480239,0.398471
31.6500,0.073832,0.366633,-0.792463,0.416876
31.7000,0.175067,0.365838,-0.409888,0.423299
31.7500,0.302249,0.362270,0.034754,0.423390
31.8000,0.545728,0.362327,0.589216,0.417345
31.8500,0.442472,0.360766,0.940723,0.411159
31.9000,0.443946,0.366729,0.369840,0.414946
31.9500,0.447117,0.365172,-0.134452,0.403331
32.0000,-0.149354,0.364447,-0.226516,0.397867
32.0500,0.220645,0.368684,-0.333855,0.397907
32.1000,0.167755,0.362877,0.004263,0.395916
32.1500,-0.195666,0.361287,0.310879,0.384527
32.2000,-0.549640,0.363269,0.308744,0.398615
32.2500,-1.070836,0.364629,0.615267,0.408525
32.3000,-0.449530,0.371834,0.585780,0.408686
32.3500,0.186333,0.386492,0.132147,0.408642
32.4000,0.473906,0.399096,-0.052508,0.405020
32.4500,0.198565,0.398289,-0.341188,0.409591
32.5000,0.208715,0.392903,-0.457604,0.422150
32.5500,0.011693,0.381403,-0.216830,0.419947
32.6000,-0.576737,0.382505,-0.491158,0.419017
32.6500,-0.305936,0.386088,-0.784411,0.412597
32.7000,0.021543,0.386359,-0.471590,0.393857
32.7500,0.170668,0.389641,-0.183722,0.394181
32.8000,0.050378,0.387010,0.047954,0.400486
32.8500,0.355705,0.377764,0.328966,0.390201
32.9000,0.437212,0.376341,0.360607,0.361661
32.9500,0.187137,0.376606,0.294636,0.371289
33.0000,0.270410,0.370429,0.246672,0.376130
33.0500,0.358744,0.372121,0.093475,0.375712
33.1000,0.272879,0.378399,-0.082777,0.386364
33.1500,-0.270424,0.380583,0.169111,0.420239
33.2000,-0.251540,0.381413,0.782759,0.442539
33.2500,-0.224396,0.376137,0.574184,0.446076
33.3000,-0.487980,0.341174,-0.222605,0.435606
33.3500,-0.675119,0.335223,-0.071168,0.431290
33.4000,-0.637169,0.341166,0.184902,0.432190
33.4500,-0.118654,0.334941,-0.493077,0.433056
33.5000,-0.041910,0.335553,-0.687680,0.432256
33.5500,0.163313,0.333980,-0.144772,0.436981
33.6000,0.638912,0.334238,0.031304,0.437088
33.6500,0.371690,0.335463,0.108253,0.430853
33.7000,0.118426,0.333581,0.091504,0.413876
33.7500,0.367519,0.335104,-0.422450,0.407750
33.8000,0.087041,0.334049,-0.454572,0.409228
33.8500,-0.088850,0.334255,0.117359,0.409756
33.9000,0.389597,0.332639,-0.071786,0.406687
33.9500,0.453066,0.331058,-0.652789,0.402824
34.0000,0.103508,0.332821,-0.407958,0.401067
34.0500,-0.271726,0.331347,0.195973,0.399346
34.1000,-0.491803,0.327983,0.666554,0.400161
34.1500,-0.310010,0.336592,1.058433,0.400310
34.2000,-0.253417,0.335076,0.941004,0.405381
34.2500,-0.371780,0.333513,0.473478,0.390895
34.3000,-0.344140,0.349225,0.007835,0.382726
34.3500,-0.192483,0.348224,-0.435612,0.385344
34.4000,0.446680,0.337694,-0.222113,0.393329
34.4500,0.228104,0.327983,0.182971,0.392738
34.5000,-0.237164,0.331313,-0.296654,0.390608
34.5500,-0.019962,0.353633,-0.614661,0.376766
34.6000,0.084814,0.366169,-0.225505,0.376238
34.6500,0.605193,0.372735,-0.139125,0.378450
34.7000,0.204882,0.380805,-0.165273,0.384815
34.7500,-0.205499,0.380510,-0.126558,0.390003
34.8000,-0.013481,0.378682,-0.288558,0.393071
34.8500,-0.090387,0.383547,-0.141551,0.397695
34.9000,0.286958,0.383317,0.074076,0.399381
34.9500,0.384879,0.380157,0.042793,0.400610
35.0000,0.288099,0.375910,0.170039,0.389447
35.0500,0.181623,0.376707,0.066073,0.387468
35.1000,-0.194307,0.376411,-0.188290,0.397579
35.1500,-0.555924,0.368603,0.108274,0.385750
35.2000,-0.177146,0.367172,0.442866,0.348798
35.2500,-0.142943,0.366420,0.373847,0.319373
35.3000,-0.700111,0.361822,0.265675,0.315898
35.3500,-0.457729,0.366065,0.363325,0.316822
35.4000,-0.399561,0.365464,0.509900,0.309731
35.4500,-0.375426,0.360937,0.122965,0.307911
35.5000,0.322605,0.361196,-0.418005,0.306591
35.5500,0.792820,0.360029,-0.193383,0.303200
35.6000,0.629807,0.361718,0.068221,0.293576
35.6500,0.779168,0.362087,-0.263472,0.291528
35.7000,0.622490,0.356134,-0.459263,0.293459
35.7500,0.069383,0.372988,-0.416134,0.292327
35.8000,-0.279556,0.371605,-0.526273,0.291753
35.8500,-0.399528,0.371658,-0.597117,0.296374
35.9000,0.025631,0.372632,-0.262463,0.329132
35.9500,-0.229981,0.373602,0.213249,0.342191
36.0000,-0.271306,0.369353,0.254010,0.345608
36.0500,-0.187917,0.367209,0.321549,0.344765
36.1000,-0.254333,0.369145,0.603201,0.352490
36.1500,-0.058061,0.372089,0.253777,0.358833
36.2000,-0.230080,0.361883,-0.086057,0.364329
36.2500,-0.203993,0.361121,0.281759,0.373368
36.3000,0.030666,0.367031,0.365595,0.375596
36.3500,0.495013,0.363463,0.155041,0.376581
36.4000,-0.137974,0.358066,0.087194,0.376089
36.4500,-0.254351,0.361504,-0.056920,0.369258
36.5000,0.244362,0.380072,0.015082,0.374715
36.5500,-0.147368,0.390520,-0.056881,0.369166
36.6000,0.224438,0.376891,-0.377237,0.368720
36.6500,0.134732,0.364599,-0.041537,0.368569
36.7000,0.436979,0.343693,0.256294,0.374914
36.7500,0.738805,0.329868,0.011269,0.368030
36.8000,0.001429,0.331668,-0.047496,0.396232
36.8500,-0.042206,0.331254,-0.441244,0.418379
36.9000,-0.194715,0.333972,-0.927440,0.408523
36.9500,-0.334669,0.339719,-0.604091,0.409203
37.0000,-0.136810,0.355389,-0.313352,0.409622
37.0500,-0.135148,0.360084,-0.071135,0.407698
37.1000,-0.302342,0.361187,0.474538,0.405549
37.1500,-0.356714,0.359748,0.469527,0.395039
37.2000,0.043762,0.369024,0.417952,0.396268
37.2500,0.093821,0.371455,0.685204,0.397119
37.3000,-0.443684,0.371091,0.456284,0.396515
37.3500,-0.619099,0.371191,0.317716,0.400056
37.4000,-0.223302,0.363063,0.341792,0.413140
37.4500,0.510953,0.362797,-0.226379,0.414719
37.5000,0.839940,0.360712,-0.426117,0.416454
37.5500,0.658916,0.358688,-0.074072,0.421426
37.6000,0.446950,0.358373,-0.154611,0.422192
37.6500,0.151493,0.359328,-0.009734,0.418073
37.7000,-0.002096,0.363460,0.512672,0.418029
37.7500,0.075442,0.357067,0.035304,0.421514
37.8000,0.231601,0.339053,-1.028035,0.443178
37.8500,-0.258644,0.345752,-1.008295,0.462228
37.9000,-0.483483,0.349723,-0.149682,0.470609
37.9500,-0.399247,0.359720,0.302763,0.450616
38.0000,-0.706740,0.362541,0.244009,0.443373
38.0500,-0.459716,0.367684,-0.007973,0.446816
38.1000,-0.260629,0.380254,-0.178127,0.450670
38.1500,0.148844,0.379918,0.137378,0.447011
38.2000,0.529655,0.378940,0.322923,0.440957
38.2500,0.355978,0.378891,-0.187344,0.436367
38.3000,0.174759,0.380032,-0.244360,0.423255
38.3500,0.063082,0.377911,0.499331,0.417586
38.4000,0.018486,0.368017,0.678425,0.416260
38.4500,-0.105489,0.370424,0.247385,0.420674
38.5000,-0.053334,0.376543,0.249727,0.426569
38.5500,0.003929,0.361924,0.413546,0.427065
38.6000,0.111649,0.347379,0.172417,0.426976
38.6500,0.280110,0.342965,0.020431,0.428741
38.7000,0.374994,0.345886,0.014465,0.429469
38.7500,0.045757,0.346090,-0.430856,0.421940
38.8000,0.177995,0.346839,-0.876454,0.428970
38.8500,0.433695,0.346230,-0.842288,0.400776
38.9000,-0.339141,0.345536,-0.717790,0.369803
38.9500,-0.573326,0.341641,-0.324034,0.372484
39.0000,-0.442190,0.342681,0.315336,0.371114
39.0500,-0.415555,0.326536,0.473152,0.370304
39.1000,-0.635401,0.322072,0.383232,0.374477
39.1500,-0.284508,0.319650,0.300856,0.382587
39.2000,0.311153,0.319182,0.007600,0.383372
39.2500,0.019647,0.309423,-0.097840,0.389975
39.3000,0.210521,0.321448,-0.085827,0.405600
39.3500,0.361868,0.349317,-0.113054,0.410188
39.4000,0.284028,0.349496,0.235813,0.408721
39.4500,0.350372,0.352684,0.517947,0.397898
39.5000,0.669667,0.352326,0.506001,0.396472
39.5500,0.512725,0.353078,0.446000,0.395895
39.6000,-0.105756,0.353079,-0.048934,0.392298
39.6500,-0.273554,0.354628,-0.292942,0.391555
39.7000,-0.324707,0.351950,0.160400,0.399402
39.7500,-0.076126,0.348246,0.000233,0.404375
39.8000,-0.164198,0.351491,-0.496482,0.398875
39.8500,-0.190653,0.360363,-0.312619,0.374725
39.9000,-0.217251,0.362082,-0.195179,0.353866
39.9500,-0.352192,0.360547,-0.322494,0.336154
40.0000,-0.434259,0.351545,-0.223333,0.332875
40.0500,-0.237661,0.344774,-0.186904,0.330117
40.1000,0.304341,0.342397,-0.357048,0.322230
40.1500,-0.064918,0.330720,-0.532429,0.319313
40.2000,-0.099457,0.327722,-0.208583,0.316787
40.2500,0.170322,0.324121,0.560053,0.316877
40.3000,0.661638,0.333846,0.738076,0.318253
40.3500,0.892730,0.342244,0.461682,0.318119
40.4000,-0.095498,0.366043,0.447300,0.319701
40.4500,-0.303519,0.397357,0.319904,0.332463
40.5000,-0.027671,0.393953,0.121419,0.359341
40.5500,-0.156840,0.383389,0.208879,0.360616
40.6000,-0.007341,0.389178,0.234023,0.353827
40.6500,0.239580,0.398657,-0.076471,0.354508
40.7000,-0.029849,0.402969,-0.504882,0.351567
40.7500,0.185181,0.403073,-0.405084,0.351490
40.8000,0.308517,0.403017,0.067140,0.352162
40.8500,-0.539099,0.402325,-0.046752,0.349702
40.9000,-0.488886,0.401498,-0.293867,0.352569
40.9500,-0.263683,0.403256,-0.118790,0.356661
41.0000,-0.256646,0.400502,-0.122737,0.367346
41.0500,0.047434,0.397740,-0.156437,0.366785
41.1000,-0.325116,0.397045,-0.113682,0.367063
41.1500,-0.285451,0.396749,-0.264845,0.363644
41.2000,0.001108,0.396785,-0.156947,0.355220
41.2500,0.023962,0.396769,-0.048928,0.365199
41.3000,0.512598,0.396846,-0.213107,0.356266
41.3500,0.526409,0.386834,-0.062153,0.350877
41.4000,0.906677,0.361993,0.232677,0.343391
41.4500,1.029945,0.362219,0.629957,0.343412
41.5000,0.110995,0.359104,1.015209,0.353793
41.5500,-0.334300,0.359226,0.541912,0.362840
41.6000,-0.668021,0.358938,0.007304,0.361964
41.6500,-0.563352,0.359807,0.148905,0.361371
41.7000,-0.465351,0.361020,0.025982,0.363699
41.7500,-0.329980,0.375971,-0.153327,0.358781
41.8000,-0.062871,0.378768,-0.139265,0.359345
41.8500,-0.064081,0.376504,-0.419158,0.361927
41.9000,-0.095383,0.367091,-0.424611,0.365632
41.9500,-0.324347,0.359711,-0.396323,0.362951
42.0000,0.182374,0.357346,-0.648975,0.363614
42.0500,0.313377,0.355091,-0.181634,0.373452
42.1000,0.183932,0.355118,0.208100,0.397812
42.1500,0.288083,0.355047,-0.158294,0.405952
42.2000,-0.073308,0.353494,0.187627,0.405614
42.2500,-0.096881,0.355408,0.581587,0.406870
42.3000,0.177546,0.355806,-0.222316,0.406823
42.3500,0.340690,0.363678,-0.623319,0.411646
42.4000,0.185200,0.363306,-0.007955,0.419843
42.4500,0.125750,0.334620,0.447949,0.423267
42.5000,0.003482,0.294575,0.631730,0.425158
42.5500,-0.065882,0.302637,0.529667,0.417088
42.6000,0.127058,0.302764,0.132747,0.408550
42.6500,0.160188,0.295434,0.192784,0.424559
42.7000,-0.305345,0.307932,0.273967,0.431651
42.7500,-0.672800,0.303378,-0.330488,0.431634
42.8000,-0.347628,0.303204,-0.425080,0.436300
42.8500,-0.158326,0.304058,0.284398,0.443475
42.9000,-0.060539,0.309298,0.335696,0.438658
42.9500,-0.138153,0.324777,-0.079266,0.437817
43.0000,0.000064,0.321478,-0.183972,0.433914
43.0500,0.002257,0.321116,-0.558919,0.421958
43.1000,0.055094,0.329475,-0.891496,0.423483
43.1500,0.321923,0.328881,-0.530271,0.430566
43.2000,0.190712,0.328378,-0.242638,0.435487
43.2500,0.235835,0.328586,-0.257841,0.436389
43.3000,0.110416,0.332909,0.028735,0.429670
43.3500,0.703532,0.332538,0.455244,0.428278
43.4000,0.515770,0.333787,0.532289,0.420851
43.4500,-0.034719,0.334004,0.415296,0.421611
43.5000,0.166619,0.333429,0.680176,0.418607
