# Combined magnitude data, zeros vs random; N_each=200
# K-S statistic D=0.080000, p=0.527189 (on log10(magnitude))
source,index_or_k,t_or_gamma,magnitude
zero,111,255.306256455,0.314218992343
zero,112,256.380713694,0.0747316611844
zero,113,258.610439492,0.500160591546
zero,114,259.87440699,0.732504981095
zero,115,260.805084505,18.603224201
zero,116,263.573893905,1.79824860633
zero,117,265.557851839,0.379444377868
zero,118,266.614973782,0.00429874356381
zero,119,267.921915083,0.769532164888
zero,120,269.970449024,28.3317490963
zero,121,271.494055642,3.34733131623
zero,122,273.459609188,0.0934790610566
zero,123,275.587492649,1.14508163872
zero,124,276.452049503,1.80589781586
zero,125,278.25074353,0.815770472575
zero,126,279.229250928,7.57554214386
zero,127,282.465114765,0.341779157526
zero,128,283.211185733,0.662170549946
zero,129,284.835963981,0.362006228465
zero,130,286.667445363,8.01828160313
zero,131,287.911920501,20.2105151723
zero,132,289.579854929,0.482016903932
zero,133,291.846291329,7.64878433962
zero,134,293.558434139,0.805573782271
zero,135,294.965369619,1.20002041713
zero,136,295.573254879,0.259159746465
zero,137,297.979277062,1.40342097858
zero,138,299.840326054,0.851019492521
zero,139,301.649325462,0.0499974632589
zero,140,302.69674959,0.167368955016
zero,141,304.864371341,5.84404559721
zero,142,305.728912602,7.66765004009
zero,143,307.219496128,0.689548902287
zero,144,310.109463147,0.171765501268
zero,145,311.16514153,0.362182031736
zero,146,312.427801181,3.12966802691
zero,147,313.985285731,0.853248637174
zero,148,315.475616089,3.17045425772
zero,149,317.734805942,0.51119180766
zero,150,318.853104256,0.210259335072
zero,151,321.160134309,4.24169204802
zero,152,322.144558672,1.06284326817
zero,153,323.466969558,9.03035848065
zero,154,324.862866052,16.0155036922
zero,155,327.443901262,0.895369694596
zero,156,329.03307168,0.495240626327
zero,157,329.953239728,0.122269347332
zero,158,331.474467583,3.31489740482
zero,159,333.645378525,5.25385000137
zero,160,334.211354833,4.91257086308
zero,161,336.841850428,0.0776056127698
zero,162,338.339992851,1.05455212779
zero,163,339.858216725,0.131016591745
zero,164,341.042261111,3.69595437851
zero,165,342.05487751,1.35479450352
zero,166,344.66170294,4.75711308414
zero,167,346.347870566,0.0135335896575
zero,168,347.272677584,0.182910704007
zero,169,349.316260871,0.811869563932
zero,170,350.408419349,7.58609647151
zero,171,351.878649025,2.40412101913
zero,172,353.488900489,0.459893079243
zero,173,356.017574977,0.0848824723184
zero,174,357.151302252,0.117836203895
zero,175,357.952685102,0.614946834156
zero,176,359.743754953,1.8277114088
zero,177,361.289361696,36.077277985
zero,178,363.331330579,15.2174536614
zero,179,364.736024114,0.05959814435
zero,180,366.212710288,0.3757044996
zero,181,367.993575482,7.3904775489
zero,182,368.968438096,1.45007561073
zero,183,370.050919212,2.00093927545
zero,184,373.061928372,2.35468792381
zero,185,373.864873911,0.108302602075
zero,186,375.825912767,0.0241589812413
zero,187,376.324092231,0.679875834028
zero,188,378.43668025,22.253487055
zero,189,379.872975347,3.18126350273
zero,190,381.484468617,0.161866549944
zero,191,383.44352945,0.32645549838
zero,192,384.956116815,3.49151405342
zero,193,385.861300846,0.47625805547
zero,194,387.222890222,3.59471115935
zero,195,388.846128354,0.00790923520602
zero,196,391.456083564,0.276061078801
zero,197,392.24508334,0.00479931942524
zero,198,393.427743844,0.0764606690578
zero,199,395.582870011,3.89151569488
zero,200,396.381854223,19.7825767946
null,1,23.654152,2.27439844518
null,2,120.161317,0.0736251609568
null,3,100.159345,0.23832664228
null,4,298.277889,0.74199466069
null,5,275.206002,0.189338024408
null,6,358.381313,2.34427625295
null,7,47.558389,0.780639724571
null,8,176.861822,14.6091674151
null,9,25.501727,68.7187099834
null,10,98.394258,201.149326213
null,11,209.067141,17.4340234742
null,12,24.242884,22.6506659547
null,13,90.751333,0.405262714591
null,14,264.855393,0.158736338241
null,15,224.347412,55.9715361828
null,16,99.090080,207.360347268
null,17,241.456554,12.0361381514
null,18,326.440156,1.30710264444
null,19,16.508521,1.01125456117
null,20,325.046231,2.60877560369
null,21,283.481806,12.4165368994
null,22,145.336699,0.403748844602
null,23,74.015087,0.133686060388
null,24,143.925494,5.9770257673
null,25,51.332521,1.22703526651
null,26,325.551513,1.59466881514
null,27,295.676470,0.071164282315
null,28,220.984043,5.67058556033
null,29,389.622685,51.1313342263
null,30,160.114270,1.65479470106
null,31,227.087684,0.108851419393
null,32,252.748624,5.13447673463
null,33,346.618864,0.0384367711726
null,34,236.857928,0.129579933462
null,35,285.964729,0.953122185311
null,36,31.688212,0.0549970957069
null,37,101.968734,0.0298395019998
null,38,125.703754,3.3170442495
null,39,44.799703,9.84572193191
null,40,103.857282,2.33807349919
null,41,259.374195,3.98292805471
null,42,154.825221,2.09331597685
null,43,156.889853,5.09065417012
null,44,94.869714,0.0550530774277
null,45,117.053439,0.588403940514
null,46,375.548671,0.180036455262
null,47,264.141659,1.08008889678
null,48,249.124568,0.346087235724
null,49,80.059518,1.99126826546
null,50,295.442944,0.4987120841
null,51,160.469801,6.61088831867
null,52,395.956013,20.6154892011
null,53,261.039907,8.96032771572
null,54,228.982601,0.0146083984409
null,55,339.340841,4.16845439293
null,56,313.535966,0.461086527263
null,57,102.412556,0.198487776158
null,58,26.390694,0.124376601927
null,59,135.764877,0.122208004803
null,60,117.347978,2.17954392277
null,61,95.439378,1.98331267667
null,62,377.963150,0.445116507746
null,63,352.277904,0.14126878171
null,64,135.465662,0.819393116238
null,65,266.999325,0.427222277281
null,66,166.713914,1.57683057753
null,67,367.015370,2.61538406416
null,68,191.116815,0.411387617926
null,69,109.198218,1.65869502884
null,70,230.688100,4.95993505443
null,71,115.418261,52.0450972914
null,72,360.559633,9.2381038071
