x,E_actual,E_predicted,E_norm_actual,E_norm_predicted,residual_norm
9437878,170,138.0823,0.888718,0.721860,-0.166858
10116380,339,312.7657,1.719145,1.586105,-0.133040
10843660,382,343.0289,1.879170,1.687460,-0.191710
11623225,286,241.4205,1.364742,1.152016,-0.212726
12458834,161,173.4888,0.745220,0.803027,0.057807
13354516,339,281.7997,1.522034,1.265218,-0.256816
14314589,252,266.3374,1.097447,1.159886,0.062439
15343684,193,278.7092,0.815251,1.177295,0.362044
16446762,148,121.7689,0.606371,0.498900,-0.107471
17629141,183,164.6212,0.727216,0.654181,-0.073035
18896523,258,185.3598,0.994397,0.714424,-0.279973
20255019,272,234.3402,1.016786,0.876007,-0.140779
21711179,369,335.5770,1.337828,1.216651,-0.121177
23272025,312,283.4065,1.097069,0.996527,-0.100542
24945081,424,361.8347,1.445919,1.233923,-0.211996
26738416,193,112.9255,0.638302,0.373475,-0.264827
28660676,481,388.1074,1.542760,1.244816,-0.297944
30721130,424,339.8066,1.318852,1.056969,-0.261883
32929713,491,464.8640,1.481091,1.402252,-0.078839
35297073,515,528.5197,1.506504,1.546053,0.039549
37834626,522,511.0061,1.480777,1.449590,-0.031187
40554607,468,304.2140,1.287402,0.836850,-0.450552
43470132,323,310.6944,0.861615,0.828789,-0.032826
46595257,239,193.3160,0.618222,0.500051,-0.118171
49945051,429,244.7823,1.076050,0.613981,-0.462069
53535667,100,85.7520,0.243219,0.208565,-0.034654
57384416,383,379.2255,0.903258,0.894356,-0.008902
61509858,469,452.8330,1.072494,1.035524,-0.036970
65931883,777,731.1215,1.722842,1.621116,-0.101726
70671813,652,602.8288,1.401742,1.296028,-0.105714
75752503,931,861.4969,1.940706,1.795824,-0.144882
81198450,657,499.2807,1.327880,1.009109,-0.318771
87035914,416,324.4552,0.815199,0.635807,-0.179392
93293040,593,524.2375,1.126668,0.996023,-0.130645
100000000,486,520.3359,0.895245,0.958494,0.063249
