n,t_n,nearest_minimum_t,delta_n,delta_n_null
269,406.240000,406.200000,0.040000,0.416131
270,406.900000,407.040000,0.140000,0.424359
271,407.730000,408.008000,0.278000,0.406662
272,410.300000,410.488000,0.188000,0.418405
273,410.910000,411.176000,0.266000,0.427497
274,416.060000,416.488000,0.428000,0.416229
275,416.810000,416.744000,0.066000,0.407234
276,417.570000,417.328000,0.242000,0.382006
277,418.780000,418.528000,0.252000,0.402657
278,419.440000,419.520000,0.080000,0.414858
279,422.680000,422.720000,0.040000,0.426784
280,423.380000,422.720000,0.660000,0.435624
281,424.130000,425.232000,1.102000,0.421992
282,425.550000,425.736000,0.186000,0.434413
283,427.630000,427.248000,0.382000,0.404221
284,428.550000,428.440000,0.110000,0.387429
285,429.250000,429.248000,0.002000,0.412832
286,433.280000,433.056000,0.224000,0.404084
287,434.060000,433.816000,0.244000,0.415242
288,435.090000,436.200000,1.110000,0.418201
289,436.080000,436.200000,0.120000,0.419697
290,436.590000,436.640000,0.050000,0.414429
291,444.970000,445.024000,0.054000,0.449562
292,445.650000,445.392000,0.258000,0.435169
293,446.500000,446.440000,0.060000,0.427006
294,450.580000,450.392000,0.188000,0.407484
295,451.350000,451.520000,0.170000,0.402103
296,452.400000,452.616000,0.216000,0.398642
297,452.840000,452.616000,0.224000,0.409238
298,461.070000,461.504000,0.434000,0.423398
299,462.040000,462.280000,0.240000,0.415173
300,462.740000,462.976000,0.236000,0.417299
301,463.730000,463.624000,0.106000,0.401783
302,465.490000,465.704000,0.214000,0.413650
303,467.800000,468.088000,0.288000,0.422676
304,469.390000,469.496000,0.106000,0.425649
305,470.380000,470.168000,0.212000,0.430618
306,471.060000,470.912000,0.148000,0.440164
307,472.610000,472.344000,0.266000,0.434033
308,473.230000,472.888000,0.342000,0.425305
309,474.760000,474.400000,0.360000,0.410766
310,474.920000,475.144000,0.224000,0.409006
311,480.070000,479.904000,0.166000,0.412561
312,480.920000,480.880000,0.040000,0.418509
313,481.390000,481.320000,0.070000,0.432112
314,487.500000,487.384000,0.116000,0.420188
315,487.940000,487.800000,0.140000,0.420018
316,490.490000,490.568000,0.078000,0.402098
317,491.300000,490.920000,0.380000,0.427447
318,492.090000,491.736000,0.354000,0.424322
319,496.240000,496.016000,0.224000,0.415297
320,496.940000,496.936000,0.004000,0.416273
321,497.600000,497.360000,0.240000,0.403786
322,498.740000,499.656000,0.916000,0.404734
323,506.550000,506.576000,0.026000,0.394385
324,508.140000,508.080000,0.060000,0.429151
325,509.480000,508.720000,0.760000,0.421401
326,509.710000,510.400000,0.690000,0.412101
327,515.460000,515.736000,0.276000,0.408987
328,516.650000,516.592000,0.058000,0.404384
329,517.240000,517.072000,0.168000,0.399514
330,525.320000,525.176000,0.144000,0.417206
331,525.870000,525.176000,0.694000,0.408283
332,526.810000,526.728000,0.082000,0.418692
333,532.520000,533.336000,0.816000,0.407208
334,533.060000,533.336000,0.276000,0.384870
335,536.450000,536.632000,0.182000,0.413600
336,536.930000,536.632000,0.298000,0.411401
337,539.000000,538.248000,0.752000,0.426721
338,542.940000,543.016000,0.076000,0.427996
339,543.410000,543.736000,0.326000,0.414518
340,544.450000,544.512000,0.062000,0.418503
341,558.700000,558.392000,0.308000,0.429997
342,560.410000,559.608000,0.802000,0.420040
343,561.220000,562.248000,1.028000,0.413481
344,561.950000,562.248000,0.298000,0.418401
345,570.740000,570.632000,0.108000,0.408650
346,571.370000,571.136000,0.234000,0.399911
347,572.390000,572.016000,0.374000,0.407369
348,572.990000,572.992000,0.002000,0.418895
349,577.170000,576.816000,0.354000,0.393127
350,581.410000,581.328000,0.082000,0.398534
351,582.970000,582.840000,0.130000,0.409076
352,583.170000,582.840000,0.330000,0.416541
353,587.470000,588.280000,0.810000,0.399935
354,588.720000,588.544000,0.176000,0.407791
355,590.040000,590.136000,0.096000,0.427460
356,590.450000,590.136000,0.314000,0.416298
