n,t_n,nearest_minimum_t,delta_n,delta_n_null
471,774.117745,774.040000,0.077745,0.420483
472,775.047847,774.736000,0.311847,0.437009
473,775.999712,774.736000,1.263712,0.440345
474,777.299749,777.624000,0.324251,0.427323
475,779.157077,779.472000,0.314923,0.405671
476,780.348925,779.472000,0.876925,0.418562
477,782.137664,781.944000,0.193664,0.428381
478,782.597944,782.512000,0.085944,0.433781
479,784.288823,784.272000,0.016823,0.434271
480,785.739090,785.808000,0.068910,0.417990
481,786.461147,786.296000,0.165147,0.422996
482,787.468464,787.552000,0.083536,0.435405
483,790.059092,790.216000,0.156908,0.428304
484,790.831620,790.544000,0.287620,0.436022
485,792.427708,792.336000,0.091708,0.411959
486,792.888653,792.336000,0.552653,0.402379
487,794.483792,794.232000,0.251792,0.435377
488,795.606596,795.600000,0.006596,0.418591
489,797.263470,797.488000,0.224530,0.422798
490,798.707570,798.088000,0.619570,0.429340
491,799.654336,799.792000,0.137664,0.422233
492,801.604246,800.960000,0.644246,0.408587
493,802.541985,803.192000,0.650015,0.419984
494,803.243096,803.192000,0.051096,0.420378
495,804.762239,804.784000,0.021761,0.434267
496,805.861636,805.528000,0.333636,0.436578
497,808.151815,808.584000,0.432185,0.449101
498,809.197783,808.984000,0.213783,0.428953
499,810.081805,809.736000,0.345805,0.420820
500,811.184359,811.016000,0.168359,0.405756
501,812.771108,813.224000,0.452892,0.456662
502,814.045914,813.224000,0.821914,0.411092
503,814.870540,815.256000,0.385460,0.389105
504,816.727738,817.448000,0.720262,0.436103
505,818.380669,819.040000,0.659331,0.427124
506,819.204642,819.040000,0.164642,0.413840
507,820.721898,820.552000,0.169898,0.423949
508,821.713454,821.624000,0.089454,0.429881
509,822.197757,821.624000,0.573757,0.417029
510,824.526294,825.016000,0.489706,0.421273
511,826.039287,825.552000,0.487287,0.402841
512,826.905811,826.824000,0.081811,0.412356
513,828.340174,828.648000,0.307826,0.432592
514,829.437011,829.104000,0.333011,0.419763
515,830.895884,831.080000,0.184116,0.435557
516,831.799778,831.672000,0.127778,0.434815
517,833.003641,833.256000,0.252359,0.414836
518,834.651915,834.848000,0.196085,0.430136
519,836.693576,836.408000,0.285576,0.452460
520,837.347335,836.408000,0.939335,0.441307
521,838.249022,839.664000,1.414978,0.450406
522,839.465395,839.664000,0.198605,0.432024
523,841.036390,841.304000,0.267610,0.435421
524,842.041354,841.304000,0.737354,0.431213
525,844.166197,843.680000,0.486197,0.428350
526,844.805994,845.272000,0.466006,0.428453
527,846.194770,846.280000,0.085230,0.420377
528,847.971718,848.544000,0.572282,0.399562
529,848.489281,848.544000,0.054719,0.413582
530,849.862274,849.712000,0.150274,0.415611
531,850.645448,850.520000,0.125448,0.427565
532,853.163113,853.008000,0.155113,0.421700
533,854.095512,853.896000,0.199512,0.428579
534,855.286710,856.000000,0.713290,0.426896
535,856.484117,856.408000,0.076117,0.415592
536,857.310741,856.408000,0.902741,0.399930
537,858.904026,859.008000,0.103974,0.425225
538,860.410671,860.464000,0.053329,0.433747
539,861.171098,861.008000,0.163098,0.429051
540,863.189720,863.112000,0.077720,0.421267
541,864.340824,864.168000,0.172824,0.417770
542,865.594664,865.400000,0.194664,0.440543
543,866.423740,865.400000,1.023740,0.411782
544,867.693123,867.536000,0.157123,0.399395
545,868.670494,868.752000,0.081506,0.419460
546,870.846902,870.768000,0.078902,0.417126
547,872.188751,870.768000,1.420751,0.442989
548,873.098979,873.936000,0.837021,0.418721
549,873.908389,873.936000,0.027611,0.429435
550,875.985285,876.424000,0.438715,0.409989
551,876.600826,876.512000,0.088826,0.416760
552,877.654698,877.680000,0.025302,0.384745
553,879.380952,879.288000,0.092952,0.420753
554,880.834649,880.424000,0.410649,0.420231
555,882.386697,882.640000,0.253303,0.416373
556,883.430332,883.560000,0.129668,0.427905
557,884.198743,883.952000,0.246743,0.410982
558,885.272304,884.560000,0.712304,0.425625
559,886.852802,886.584000,0.268802,0.409537
560,888.475567,887.920000,0.555567,0.420027
561,889.735294,889.760000,0.024706,0.420060
562,890.813132,891.104000,0.290868,0.409598
563,892.386433,893.152000,0.765567,0.394530
564,893.119118,893.152000,0.032882,0.389444
565,894.886292,895.064000,0.177708,0.415428
566,895.397920,895.544000,0.146080,0.408430
567,896.632252,896.496000,0.136252,0.407885
568,899.221523,899.496000,0.274477,0.417720
569,899.858885,899.496000,0.362885,0.422059
570,900.849740,900.824000,0.025740,0.419339
571,902.243208,901.944000,0.299208,0.430568
572,903.099674,902.928000,0.171674,0.401504
573,904.702903,904.864000,0.161097,0.427464
574,905.829941,905.760000,0.069941,0.424738
575,907.656729,907.464000,0.192729,0.408905
576,908.333544,907.928000,0.405544,0.411109
577,910.186334,909.928000,0.258334,0.402459
578,911.234951,910.864000,0.370951,0.417356
579,912.331046,912.288000,0.043046,0.421196
580,912.823999,912.288000,0.535999,0.412206
581,914.730097,914.688000,0.042097,0.441178
582,916.355001,916.072000,0.283001,0.426625
583,917.825378,917.440000,0.385378,0.425847
584,918.836535,918.624000,0.212535,0.408929
585,919.448344,920.008000,0.559656,0.414802
586,921.156396,921.632000,0.475604,0.430004
587,922.500629,922.400000,0.100629,0.449954
588,923.285720,923.280000,0.005720,0.429445
589,924.773484,925.008000,0.234516,0.400433
590,926.551553,926.216000,0.335553,0.405662
591,927.850859,928.000000,0.149141,0.425369
592,928.663659,928.400000,0.263659,0.431260
593,929.874093,930.224000,0.349907,0.455193
594,931.009211,930.560000,0.449211,0.431419
595,931.852741,932.160000,0.307259,0.413378
596,934.385307,934.328000,0.057307,0.425938
597,934.995425,935.568000,0.572575,0.428407
598,936.228649,936.416000,0.187351,0.423664
599,937.532926,937.408000,0.124926,0.423137
