n,t_n,nearest_minimum_t,delta_n,delta_n_null
197,392.245083,391.160000,1.085083,0.449121
198,393.427744,394.008000,0.580256,0.465999
199,395.582870,395.216000,0.366870,0.425971
200,396.381854,396.048000,0.333854,0.405132
201,397.918736,397.856000,0.062736,0.426556
202,399.985120,399.976000,0.009120,0.424310
203,401.839229,402.328000,0.488771,0.446695
204,402.861918,402.328000,0.533918,0.419254
205,404.236442,404.200000,0.036442,0.413112
206,405.134387,404.816000,0.318387,0.402471
207,407.581460,407.152000,0.429460,0.415365
208,408.947246,409.032000,0.084754,0.412495
209,410.513869,410.440000,0.073869,0.433422
210,411.972268,411.880000,0.092268,0.432653
211,413.262736,413.272000,0.009264,0.415815
212,415.018810,415.152000,0.133190,0.423806
213,415.455215,415.152000,0.303215,0.439267
214,418.387706,418.304000,0.083706,0.408964
215,419.861365,419.448000,0.413365,0.425219
216,420.643828,420.848000,0.204172,0.409433
217,422.076710,420.848000,1.228710,0.441879
218,423.716580,423.816000,0.099420,0.414984
219,425.069882,423.816000,1.253882,0.432594
220,427.208825,427.544000,0.335175,0.424738
221,428.127914,428.264000,0.136086,0.420971
222,430.328745,429.856000,0.472745,0.436637
223,431.301307,430.848000,0.453307,0.434035
224,432.138642,432.312000,0.173358,0.431698
225,433.889218,433.352000,0.537218,0.437715
226,436.161006,436.080000,0.081006,0.404718
227,437.581698,437.136000,0.445698,0.446315
228,438.621739,439.208000,0.586261,0.427397
229,439.918442,440.056000,0.137558,0.426617
230,441.683199,441.728000,0.044801,0.449880
231,442.904546,443.280000,0.375454,0.422798
232,444.319336,444.720000,0.400664,0.433346
233,446.860623,446.608000,0.252623,0.439526
234,447.441704,446.608000,0.833704,0.420113
235,449.148546,450.264000,1.115454,0.428577
236,450.126946,450.264000,0.137054,0.425213
237,451.403308,451.136000,0.267308,0.427118
238,453.986738,454.760000,0.773262,0.472739
239,454.974684,455.104000,0.129316,0.428284
240,456.328427,456.128000,0.200427,0.420598
241,457.903893,458.464000,0.560107,0.427627
242,459.513415,459.880000,0.366585,0.448055
243,460.087944,459.880000,0.207944,0.468649
244,462.065367,461.840000,0.225367,0.430054
245,464.057287,464.048000,0.009287,0.427570
246,465.671539,466.176000,0.504461,0.424953
247,466.570287,466.176000,0.394287,0.430060
248,467.439046,467.280000,0.159046,0.419060
249,469.536005,469.480000,0.056005,0.428835
250,470.773655,470.048000,0.725655,0.443372
251,472.799175,472.712000,0.087175,0.433399
252,473.835232,473.992000,0.156768,0.418787
253,475.600339,475.208000,0.392339,0.426422
254,476.769015,476.568000,0.201015,0.409868
255,478.075264,477.640000,0.435264,0.416651
256,478.942182,479.128000,0.185818,0.422700
257,481.830339,481.912000,0.081661,0.444544
258,482.834783,482.864000,0.029217,0.437499
259,483.851427,482.864000,0.987427,0.453590
260,485.539148,485.536000,0.003148,0.430926
261,486.528718,486.736000,0.207282,0.436082
262,488.380567,488.152000,0.228567,0.461297
263,489.661762,490.032000,0.370238,0.427939
264,491.398822,491.424000,0.025178,0.437635
265,493.314442,493.072000,0.242442,0.431725
266,493.957998,493.928000,0.029998,0.435224
267,495.358829,494.768000,0.590829,0.431268
268,496.429696,496.168000,0.261696,0.424801
269,498.580782,498.432000,0.148782,0.415443
270,500.309085,500.656000,0.346915,0.425748
271,501.604447,502.016000,0.411553,0.428152
272,502.276270,502.488000,0.211730,0.428644
273,504.499773,504.880000,0.380227,0.424296
274,505.415232,505.504000,0.088768,0.445288
275,506.464153,506.456000,0.008153,0.411059
276,508.800700,508.728000,0.072700,0.434097
277,510.264228,511.024000,0.759772,0.424552
278,511.562290,511.200000,0.362290,0.447976
279,512.623145,511.200000,1.423145,0.446682
280,513.668986,515.320000,1.651014,0.426678
281,515.435057,515.320000,0.115057,0.434731
282,517.589669,517.488000,0.101669,0.428010
283,518.234223,518.504000,0.269777,0.406240
284,520.106310,519.984000,0.122310,0.415260
285,521.525193,521.712000,0.186807,0.453083
286,522.456696,522.912000,0.455304,0.446650
287,523.960531,524.192000,0.231469,0.405969
288,525.077386,525.136000,0.058614,0.414606
289,527.903642,527.880000,0.023642,0.457318
290,528.406214,527.880000,0.526214,0.440063
291,529.806226,529.840000,0.033774,0.405784
292,530.866918,530.880000,0.013082,0.428119
293,532.688183,532.600000,0.088183,0.428723
294,533.779631,533.736000,0.043631,0.428445
295,535.664314,535.368000,0.296314,0.449399
296,537.069759,536.928000,0.141759,0.422156
297,538.428526,537.696000,0.732526,0.436173
298,540.213166,539.896000,0.317166,0.436500
299,540.631390,541.264000,0.632610,0.438277
300,541.847437,541.264000,0.583437,0.454210
301,544.323890,543.856000,0.467890,0.431559
302,545.636833,545.184000,0.452833,0.433131
303,547.010912,546.112000,0.898912,0.436427
304,547.931613,548.472000,0.540387,0.419156
305,549.497568,549.648000,0.150432,0.437641
306,550.970010,551.064000,0.093990,0.440519
307,552.049572,552.592000,0.542428,0.435383
308,553.764972,553.840000,0.075028,0.439376
309,555.792021,556.032000,0.239979,0.432992
310,556.899476,556.280000,0.619476,0.430517
311,557.564659,558.184000,0.619341,0.436618
312,559.316237,559.280000,0.036237,0.444803
313,560.240807,560.144000,0.096807,0.435067
314,562.559208,562.440000,0.119208,0.428115
315,564.160879,563.944000,0.216879,0.442182
316,564.506056,564.760000,0.253944,0.438496
317,566.698788,565.960000,0.738788,0.419369
318,567.731758,568.368000,0.636242,0.438431
319,568.923955,568.368000,0.555955,0.436625
320,570.051115,569.992000,0.059115,0.416581
321,572.419984,572.832000,0.412016,0.428466
