n,t_n,nearest_minimum_t,delta_n,delta_n_null
398,677.230181,678.416000,1.185819,0.515444
399,677.800445,678.416000,0.615555,0.513916
400,679.742198,680.520000,0.777802,0.530943
401,681.894992,681.104000,0.790992,0.527433
402,682.602735,682.992000,0.389265,0.549777
403,684.013550,683.864000,0.149550,0.532813
404,684.972630,684.432000,0.540630,0.507461
405,686.163224,686.176000,0.012776,0.522375
406,687.961543,688.160000,0.198457,0.528762
407,689.368941,689.528000,0.159059,0.528866
408,690.474735,690.528000,0.053265,0.517261
409,692.451684,692.304000,0.147684,0.536798
410,693.176970,693.448000,0.271030,0.521355
411,694.533909,694.192000,0.341909,0.487229
412,695.726336,694.192000,1.534336,0.519199
413,696.626070,698.536000,1.909930,0.531395
414,699.132095,699.176000,0.043905,0.511425
415,700.296739,699.920000,0.376739,0.497143
416,701.301743,702.208000,0.906257,0.532527
417,702.227343,702.208000,0.019343,0.514823
418,704.033839,703.424000,0.609839,0.504609
419,705.125814,705.056000,0.069814,0.500712
420,706.184655,706.520000,0.335345,0.470265
421,708.269071,708.384000,0.114929,0.517552
422,709.229589,708.384000,0.845589,0.512655
423,711.130274,710.344000,0.786274,0.511985
424,711.900290,712.160000,0.259710,0.530890
425,712.749383,712.912000,0.162617,0.532257
426,714.082772,712.912000,1.170772,0.519261
427,716.112396,716.168000,0.055604,0.519696
428,717.482570,717.960000,0.477430,0.521333
429,718.742787,718.640000,0.102787,0.498784
430,719.697101,719.136000,0.561101,0.524988
431,721.351162,720.832000,0.519162,0.523165
432,722.277505,722.576000,0.298495,0.524867
433,723.845821,723.112000,0.733821,0.539084
434,724.562614,723.112000,1.450614,0.509590
435,727.056403,728.552000,1.495597,0.530446
436,728.405482,728.552000,0.146518,0.531122
437,728.758750,728.552000,0.206750,0.528872
438,730.416482,730.496000,0.079518,0.514677
439,731.417355,731.304000,0.113355,0.522447
440,732.818053,731.304000,1.514053,0.570889
441,734.789643,734.872000,0.082357,0.528030
442,735.765459,736.008000,0.242541,0.532608
443,737.052929,736.568000,0.484929,0.508298
444,738.580421,738.136000,0.444421,0.538404
445,739.909524,739.376000,0.533524,0.536736
446,740.573807,741.448000,0.874193,0.528263
447,741.757336,741.448000,0.309336,0.537615
448,743.895013,743.928000,0.032987,0.537483
449,745.344990,744.952000,0.392990,0.521725
450,746.499306,746.472000,0.027306,0.526493
451,747.674564,747.848000,0.173436,0.519028
452,748.242754,747.848000,0.394754,0.494471
453,750.655950,750.320000,0.335950,0.522953
454,750.966381,751.072000,0.105619,0.532303
455,752.887622,753.912000,1.024378,0.534600
456,754.322370,754.344000,0.021630,0.529338
457,755.839309,756.088000,0.248691,0.532401
458,756.768248,756.984000,0.215752,0.537623
459,758.101729,758.120000,0.018271,0.522211
460,758.900238,758.120000,0.780238,0.522149
461,760.282367,761.120000,0.837633,0.509235
462,762.700033,761.808000,0.892033,0.538106
463,763.593066,763.768000,0.174934,0.549687
464,764.307523,764.272000,0.035523,0.557752
465,766.087540,765.792000,0.295540,0.530564
466,767.218472,767.008000,0.210472,0.531164
467,768.281462,768.112000,0.169462,0.528290
468,769.693407,768.112000,1.581407,0.527361
469,771.070839,771.416000,0.345161,0.511028
470,772.961618,773.528000,0.566382,0.524115
471,774.117745,774.016000,0.101745,0.512880
472,775.047847,774.584000,0.463847,0.517257
473,775.999712,776.264000,0.264288,0.511081
474,777.299749,776.936000,0.363749,0.512176
475,779.157077,779.296000,0.138923,0.524515
476,780.348925,780.616000,0.267075,0.542088
477,782.137664,781.832000,0.305664,0.503869
478,782.597944,781.832000,0.765944,0.505748
479,784.288823,783.920000,0.368823,0.489849
480,785.739090,785.576000,0.163090,0.524128
481,786.461147,786.064000,0.397147,0.522789
482,787.468464,788.312000,0.843536,0.515691
483,790.059092,790.008000,0.051092,0.529167
484,790.831620,790.832000,0.000380,0.503234
485,792.427708,791.904000,0.523708,0.491470
486,792.888653,793.088000,0.199347,0.504417
487,794.483792,794.584000,0.100208,0.530479
488,795.606596,796.112000,0.505404,0.541495
489,797.263470,798.304000,1.040530,0.527613
490,798.707570,798.480000,0.227570,0.550975
491,799.654336,799.376000,0.278336,0.538350
492,801.604246,801.896000,0.291754,0.504206
493,802.541985,801.896000,0.645985,0.491584
494,803.243096,803.320000,0.076904,0.520840
495,804.762239,804.328000,0.434239,0.537869
496,805.861636,804.328000,1.533636,0.497638
497,808.151815,808.224000,0.072185,0.524942
498,809.197783,809.496000,0.298217,0.546230
499,810.081805,810.624000,0.542195,0.544927
500,811.184359,811.152000,0.032359,0.519701
501,812.771108,812.864000,0.092892,0.527102
502,814.045914,813.704000,0.341914,0.520051
503,814.870540,814.464000,0.406540,0.525395
504,816.727738,816.608000,0.119738,0.561381
505,818.380669,819.312000,0.931331,0.552433
506,819.204642,819.312000,0.107358,0.543859
507,820.721898,820.432000,0.289898,0.521812
508,821.713454,822.112000,0.398546,0.503666
509,822.197757,822.112000,0.085757,0.498588
510,824.526294,823.680000,0.846294,0.496699
