n,t_n,nearest_minimum_t,delta_n,delta_n_null
253,475.600339,474.032000,1.568339,1.804520
254,476.769015,478.640000,1.870985,1.774982
255,478.075264,478.640000,0.564736,1.790957
256,478.942182,478.640000,0.302182,1.791944
257,481.830339,482.256000,0.425661,1.789282
258,482.834783,482.256000,0.578783,1.786978
259,483.851427,482.256000,1.595427,1.818451
260,485.539148,487.400000,1.860852,1.806772
261,486.528718,487.400000,0.871282,1.792861
262,488.380567,489.112000,0.731433,1.782057
263,489.661762,489.112000,0.549762,1.763508
264,491.398822,491.688000,0.289178,1.784921
265,493.314442,493.864000,0.549558,1.787918
266,493.957998,493.864000,0.093998,1.803234
267,495.358829,493.864000,1.494829,1.828981
268,496.429696,497.336000,0.906304,1.793331
269,498.580782,497.336000,1.244782,1.737985
270,500.309085,502.392000,2.082915,1.742269
271,501.604447,502.392000,0.787553,1.781916
272,502.276270,502.392000,0.115730,1.799292
273,504.499773,503.408000,1.091773,1.766418
274,505.415232,505.840000,0.424768,1.737065
275,506.464153,505.840000,0.624153,1.746563
276,508.800700,509.584000,0.783300,1.784198
277,510.264228,509.584000,0.680228,1.805816
278,511.562290,509.584000,1.978290,1.850773
279,512.623145,509.584000,3.039145,1.874629
280,513.668986,516.232000,2.563014,1.865099
281,515.435057,516.232000,0.796943,1.834659
282,517.589669,517.032000,0.557669,1.775914
283,518.234223,518.952000,0.717777,1.760316
284,520.106310,519.864000,0.242310,1.710490
285,521.525193,519.864000,1.661193,1.704059
286,522.456696,519.864000,2.592696,1.678409
287,523.960531,519.864000,4.096531,1.641415
288,525.077386,529.232000,4.154614,1.714915
289,527.903642,529.232000,1.328358,1.743459
290,528.406214,529.232000,0.825786,1.750031
291,529.806226,529.232000,0.574226,1.766952
292,530.866918,531.576000,0.709082,1.800893
293,532.688183,531.576000,1.112183,1.765951
294,533.779631,534.384000,0.604369,1.740807
295,535.664314,534.384000,1.280314,1.743990
296,537.069759,534.384000,2.685759,1.708767
297,538.428526,540.720000,2.291474,1.671058
298,540.213166,540.720000,0.506834,1.650153
299,540.631390,540.720000,0.088610,1.660588
300,541.847437,540.720000,1.127437,1.708350
301,544.323890,544.496000,0.172110,1.758917
302,545.636833,545.024000,0.612833,1.824468
303,547.010912,546.536000,0.474912,1.842815
304,547.931613,547.824000,0.107613,1.820526
305,549.497568,548.992000,0.505568,1.827587
306,550.970010,548.992000,1.978010,1.843297
307,552.049572,548.992000,3.057572,1.815144
308,553.764972,558.320000,4.555028,1.789184
309,555.792021,558.320000,2.527979,1.756682
310,556.899476,558.320000,1.420524,1.736461
311,557.564659,558.320000,0.755341,1.722614
312,559.316237,558.320000,0.996237,1.730376
313,560.240807,560.520000,0.279193,1.748546
314,562.559208,560.520000,2.039208,1.761027
315,564.160879,565.072000,0.911121,1.776583
316,564.506056,565.072000,0.565944,1.780716
317,566.698788,565.072000,1.626788,1.741690
318,567.731758,568.648000,0.916242,1.724319
319,568.923955,568.648000,0.275955,1.749144
320,570.051115,568.648000,1.403115,1.721981
321,572.419984,574.152000,1.732016,1.683632
322,573.614611,574.152000,0.537389,1.744723
323,575.093886,574.152000,0.941886,1.778671
324,575.807247,574.152000,1.655247,1.767638
325,577.039003,574.152000,2.887003,1.755225
326,579.098835,580.848000,1.749165,1.724787
327,580.136959,580.848000,0.711041,1.688102
328,581.946576,582.456000,0.509424,1.691293
329,583.236088,583.456000,0.219912,1.693510
330,584.561706,584.536000,0.025706,1.741299
331,585.984563,584.536000,1.448563,1.751338
332,586.742772,588.224000,1.481228,1.751793
333,588.139663,588.224000,0.084337,1.801215
334,590.660398,591.320000,0.659602,1.825530
335,591.725858,591.320000,0.405858,1.807865
336,592.571358,591.320000,1.251358,1.792360
337,593.974715,591.320000,2.654715,1.771800
338,595.728154,598.136000,2.407846,1.783272
339,596.362768,598.136000,1.773232,1.812298
340,598.493077,598.136000,0.357077,1.807116
341,599.545640,598.136000,1.409640,1.768778
342,601.602137,602.904000,1.301863,1.679249
343,602.579168,602.904000,0.324832,1.640165
344,603.625619,602.904000,0.721619,1.634015
345,604.616218,606.096000,1.479782,1.658905
346,606.383460,606.096000,0.287460,1.629103
347,608.413217,606.096000,2.317217,1.751356
348,609.389575,606.096000,3.293575,1.770611
349,610.839163,613.312000,2.472837,1.803280
350,611.774210,613.312000,1.537790,1.857248
351,613.599779,613.312000,0.287779,1.855074
352,614.646238,613.312000,1.334238,1.850144
353,615.538563,613.312000,2.226563,1.830611
354,618.112831,618.976000,0.863169,1.812063
355,619.184483,618.976000,0.208483,1.762893
356,620.272894,618.976000,1.296894,1.759009
357,621.709295,618.976000,2.733295,1.770322
358,622.375003,618.976000,3.399003,1.775147
359,624.269900,618.976000,5.293900,1.812640
360,626.019283,629.800000,3.780717,1.818509
361,627.268397,629.800000,2.531603,1.839819
362,628.325862,629.800000,1.474138,1.847268
363,630.473887,629.800000,0.673887,1.820716
364,630.805781,631.312000,0.506219,1.810548
365,632.225141,631.312000,0.913141,1.833938
366,633.546858,634.592000,1.045142,1.804760
367,635.523800,634.592000,0.931800,1.769660
368,637.397193,634.592000,2.805193,1.800076
369,637.925514,634.592000,3.333514,1.828203
370,638.927938,641.880000,2.952062,1.856250
371,640.694795,641.880000,1.185205,1.822726
372,641.945500,641.880000,0.065500,1.807183
373,643.278884,643.368000,0.089116,1.725291
374,644.990578,645.888000,0.897422,1.712679
375,646.348192,645.888000,0.460192,1.743952
376,647.761753,647.616000,0.145753,1.750442
377,648.786401,647.616000,1.170401,1.793453
378,650.197519,647.616000,2.581519,1.801663
379,650.668684,647.616000,3.052684,1.809984
380,653.649572,654.600000,0.950428,1.920507
381,654.301921,654.600000,0.298079,1.945723
382,655.709463,654.600000,1.109463,1.940620
383,656.964085,654.600000,2.364085,1.910800
384,658.175614,654.600000,3.575614,1.851093
385,659.663846,662.488000,2.824154,1.823510
386,660.716733,662.488000,1.771267,1.820978
387,662.296586,662.488000,0.191414,1.798566
388,664.244605,663.824000,0.420605,1.869187
389,665.342763,663.824000,1.518763,1.880207
390,666.515148,663.824000,2.691148,1.848365
391,667.148495,663.824000,3.324495,1.834737
392,668.975849,663.824000,5.151849,1.757983
393,670.323585,663.824000,6.499585,1.771207
394,672.458184,680.528000,8.069816,1.880210
395,673.043578,680.528000,7.484422,1.876271
396,674.355898,680.528000,6.172102,1.827726
397,676.139674,680.528000,4.388326,1.777896
398,677.230181,680.528000,3.297819,1.752044
399,677.800445,680.528000,2.727555,1.756985
400,679.742198,680.528000,0.785802,1.799857
401,681.894992,680.528000,1.366992,1.762476
402,682.602735,683.808000,1.205265,1.762739
403,684.013550,683.808000,0.205550,1.798379
404,684.972630,684.792000,0.180630,1.804959
405,686.163224,684.792000,1.371224,1.804095
406,687.961543,687.736000,0.225543,1.792468
407,689.368941,690.480000,1.111059,1.820858
408,690.474735,690.480000,0.005265,1.796363
409,692.451684,692.488000,0.036316,1.850822
410,693.176970,692.488000,0.688970,1.847110
411,694.533909,692.488000,2.045909,1.795094
412,695.726336,696.832000,1.105664,1.812161
413,696.626070,696.832000,0.205930,1.815173
414,699.132095,699.064000,0.068095,1.742624
415,700.296739,699.064000,1.232739,1.695931
416,701.301743,699.064000,2.237743,1.703211
417,702.227343,705.096000,2.868657,1.686141
418,704.033839,705.096000,1.062161,1.717341
419,705.125814,705.096000,0.029814,1.713197
420,706.184655,705.096000,1.088655,1.729462
421,708.269071,708.024000,0.245071,1.822347
422,709.229589,708.024000,1.205589,1.821771
423,711.130274,708.024000,3.106274,1.850935
424,711.900290,708.024000,3.876290,1.838343
425,712.749383,715.832000,3.082617,1.793049
426,714.082772,715.832000,1.749228,1.733115
427,716.112396,715.832000,0.280396,1.701288
428,717.482570,718.000000,0.517430,1.726443
429,718.742787,719.312000,0.569213,1.753583
430,719.697101,719.312000,0.385101,1.783243
431,721.351162,720.096000,1.255162,1.765227
432,722.277505,720.096000,2.181505,1.742338
433,723.845821,724.864000,1.018179,1.692269
434,724.562614,724.864000,0.301386,1.707362
435,727.056403,726.776000,0.280403,1.707167
436,728.405482,729.080000,0.674518,1.755531
437,728.758750,729.080000,0.321250,1.770121
438,730.416482,729.080000,1.336482,1.803855
439,731.417355,732.888000,1.470645,1.820243
440,732.818053,732.888000,0.069947,1.808100
441,734.789643,732.888000,1.901643,1.833117
442,735.765459,736.856000,1.090541,1.850584
443,737.052929,736.856000,0.196929,1.857239
444,738.580421,736.856000,1.724421,1.843886
445,739.909524,741.440000,1.530476,1.841318
446,740.573807,741.440000,0.866193,1.840643
447,741.757336,741.440000,0.317336,1.826101
448,743.895013,744.992000,1.096987,1.829916
449,745.344990,744.992000,0.352990,1.868151
450,746.499306,747.696000,1.196694,1.877446
451,747.674564,747.696000,0.021436,1.816280
452,748.242754,747.696000,0.546754,1.790543
453,750.655950,748.976000,1.679950,1.738989
454,750.966381,748.976000,1.990381,1.743172
455,752.887622,753.200000,0.312378,1.735504
456,754.322370,753.200000,1.122370,1.693260
457,755.839309,753.200000,2.639309,1.713930
458,756.768248,759.808000,3.039752,1.716342
459,758.101729,759.808000,1.706271,1.730307
460,758.900238,759.808000,0.907762,1.716578
461,760.282367,759.808000,0.474367,1.695778
462,762.700033,759.808000,2.892033,1.701728
463,763.593066,759.808000,3.785066,1.741807
464,764.307523,767.688000,3.380477,1.783233
465,766.087540,767.688000,1.600460,1.844147
466,767.218472,767.688000,0.469528,1.859947
467,768.281462,767.688000,0.593462,1.853645
468,769.693407,767.688000,2.005407,1.839235
469,771.070839,767.688000,3.382839,1.839456
470,772.961618,778.120000,5.158382,1.855903
471,774.117745,778.120000,4.002255,1.824269
472,775.047847,778.120000,3.072153,1.816366
473,775.999712,778.120000,2.120288,1.816863
474,777.299749,778.120000,0.820251,1.820942
475,779.157077,779.832000,0.674923,1.742727
476,780.348925,779.832000,0.516925,1.719151
477,782.137664,782.512000,0.374336,1.720603
478,782.597944,782.512000,0.085944,1.713648
479,784.288823,784.128000,0.160823,1.680627
480,785.739090,784.128000,1.611090,1.692639
481,786.461147,788.112000,1.650853,1.685012
482,787.468464,788.112000,0.643536,1.723038
483,790.059092,790.232000,0.172908,1.774867
484,790.831620,790.232000,0.599620,1.754832
485,792.427708,792.256000,0.171708,1.781888
486,792.888653,792.256000,0.632653,1.787946
487,794.483792,792.256000,2.227792,1.786935
488,795.606596,797.520000,1.913404,1.777032
489,797.263470,797.520000,0.256530,1.743106
490,798.707570,799.840000,1.132430,1.725305
491,799.654336,799.840000,0.185664,1.721485
492,801.604246,799.840000,1.764246,1.732377
493,802.541985,799.840000,2.701985,1.757633
494,803.243096,799.840000,3.403096,1.779426
495,804.762239,809.440000,4.677761,1.763230
496,805.861636,809.440000,3.578364,1.708460
497,808.151815,809.440000,1.288185,1.714141
498,809.197783,809.440000,0.242217,1.770273
499,810.081805,809.440000,0.641805,1.802546
500,811.184359,809.440000,1.744359,1.806092
501,812.771108,815.200000,2.428892,1.814586
502,814.045914,815.200000,1.154086,1.815218
503,814.870540,815.200000,0.329460,1.829112
504,816.727738,815.200000,1.527738,1.860009
