n,t_n,nearest_minimum_t,delta_n,delta_n_null
277,510.264228,508.992000,1.272228,0.441206
278,511.562290,511.712000,0.149710,0.451987
279,512.623145,512.720000,0.096855,0.444405
280,513.668986,513.816000,0.147014,0.426621
281,515.435057,515.480000,0.044943,0.431133
282,517.589669,517.128000,0.461669,0.419001
283,518.234223,518.072000,0.162223,0.401918
284,520.106310,519.912000,0.194310,0.429683
285,521.525193,521.160000,0.365193,0.452922
286,522.456696,522.632000,0.175304,0.447329
287,523.960531,523.848000,0.112531,0.417748
288,525.077386,525.600000,0.522614,0.426575
289,527.903642,527.288000,0.615642,0.446083
290,528.406214,528.808000,0.401786,0.434184
291,529.806226,529.824000,0.017774,0.414925
292,530.866918,530.496000,0.370918,0.436287
293,532.688183,532.288000,0.400183,0.423006
294,533.779631,533.504000,0.275631,0.436409
295,535.664314,535.512000,0.152314,0.454147
296,537.069759,536.440000,0.629759,0.433275
297,538.428526,538.080000,0.348526,0.440948
298,540.213166,540.288000,0.074834,0.430369
299,540.631390,540.864000,0.232610,0.434128
300,541.847437,541.672000,0.175437,0.454295
301,544.323890,544.208000,0.115890,0.437359
302,545.636833,545.480000,0.156833,0.438430
303,547.010912,547.832000,0.821088,0.446583
304,547.931613,547.832000,0.099613,0.449665
305,549.497568,549.056000,0.441568,0.442095
306,550.970010,551.016000,0.045990,0.448534
307,552.049572,551.416000,0.633572,0.451159
308,553.764972,553.960000,0.195028,0.435005
309,555.792021,555.040000,0.752021,0.429680
310,556.899476,556.920000,0.020524,0.443614
311,557.564659,557.456000,0.108659,0.448369
312,559.316237,559.016000,0.300237,0.436034
313,560.240807,560.264000,0.023193,0.430896
314,562.559208,563.144000,0.584792,0.438177
315,564.160879,564.248000,0.087121,0.444025
316,564.506056,564.248000,0.258056,0.443500
317,566.698788,566.560000,0.138788,0.433581
318,567.731758,567.840000,0.108242,0.446519
319,568.923955,568.472000,0.451955,0.422369
320,570.051115,569.872000,0.179115,0.436134
321,572.419984,572.432000,0.012016,0.434625
322,573.614611,574.032000,0.417389,0.449368
323,575.093886,575.120000,0.026114,0.429214
324,575.807247,576.040000,0.232753,0.421728
325,577.039003,576.792000,0.247003,0.408967
326,579.098835,578.960000,0.138835,0.427836
327,580.136959,581.032000,0.895041,0.423473
328,581.946576,581.696000,0.250576,0.449066
329,583.236088,583.592000,0.355912,0.442553
330,584.561706,584.688000,0.126294,0.434732
331,585.984563,586.688000,0.703437,0.426740
332,586.742772,586.688000,0.054772,0.427361
333,588.139663,587.888000,0.251663,0.428350
334,590.660398,590.184000,0.476398,0.445111
335,591.725858,591.144000,0.581858,0.439706
336,592.571358,592.720000,0.148642,0.431250
337,593.974715,594.112000,0.137285,0.413245
338,595.728154,595.680000,0.048154,0.446271
339,596.362768,596.080000,0.282768,0.445106
340,598.493077,598.112000,0.381077,0.455241
341,599.545640,599.512000,0.033640,0.441064
342,601.602137,602.352000,0.749863,0.436165
343,602.579168,602.352000,0.227168,0.434882
344,603.625619,603.904000,0.278381,0.448658
345,604.616218,604.408000,0.208218,0.453135
346,606.383460,606.272000,0.111460,0.425769
347,608.413217,608.456000,0.042783,0.447805
348,609.389575,609.256000,0.133575,0.432845
349,610.839163,611.072000,0.232837,0.430117
350,611.774210,611.872000,0.097790,0.446108
351,613.599779,613.920000,0.320221,0.445564
352,614.646238,614.496000,0.150238,0.435206
353,615.538563,614.984000,0.554563,0.426138
354,618.112831,618.840000,0.727169,0.433732
355,619.184483,618.840000,0.344483,0.445006
356,620.272894,620.360000,0.087106,0.424068
357,621.709295,621.344000,0.365295,0.446100
358,622.375003,622.816000,0.440997,0.447594
359,624.269900,624.096000,0.173900,0.423668
360,626.019283,626.480000,0.460717,0.428661
361,627.268397,627.400000,0.131603,0.449825
362,628.325862,628.896000,0.570138,0.440711
363,630.473887,630.784000,0.310113,0.440847
364,630.805781,630.784000,0.021781,0.440484
365,632.225141,632.584000,0.358859,0.431183
366,633.546858,633.848000,0.301142,0.420131
367,635.523800,635.792000,0.268200,0.433194
368,637.397193,637.464000,0.066807,0.437011
369,637.925514,638.152000,0.226486,0.460728
370,638.927938,638.152000,0.775938,0.455719
371,640.694795,640.000000,0.694795,0.456250
372,641.945500,643.208000,1.262500,0.448884
373,643.278884,643.208000,0.070884,0.423211
374,644.990578,645.344000,0.353422,0.409843
375,646.348192,645.504000,0.844192,0.434727
376,647.761753,647.840000,0.078247,0.430833
377,648.786401,648.384000,0.402401,0.455735
378,650.197519,650.352000,0.154481,0.447899
379,650.668684,650.888000,0.219316,0.450613
380,653.649572,653.584000,0.065572,0.437194
381,654.301921,654.248000,0.053921,0.453054
382,655.709463,656.224000,0.514537,0.465108
383,656.964085,657.432000,0.467915,0.470969
384,658.175614,657.856000,0.319614,0.450747
385,659.663846,659.240000,0.423846,0.433982
386,660.716733,660.616000,0.100733,0.449946
387,662.296586,661.800000,0.496586,0.445140
388,664.244605,663.632000,0.612605,0.438800
389,665.342763,666.520000,1.177237,0.424889
390,666.515148,666.520000,0.004852,0.437577
391,667.148495,667.144000,0.004495,0.430190
392,668.975849,668.424000,0.551849,0.428665
393,670.323585,670.512000,0.188415,0.409279
394,672.458184,672.264000,0.194184,0.435997
395,673.043578,672.264000,0.779578,0.428553
396,674.355898,674.480000,0.124102,0.441469
397,676.139674,675.504000,0.635674,0.451528
398,677.230181,677.096000,0.134181,0.436343
399,677.800445,677.824000,0.023555,0.426081
400,679.742198,680.120000,0.377802,0.455764
401,681.894992,681.920000,0.025008,0.451180
402,682.602735,681.920000,0.682735,0.470263
403,684.013550,684.080000,0.066450,0.446463
404,684.972630,685.032000,0.059370,0.434053
405,686.163224,686.536000,0.372776,0.442844
406,687.961543,687.840000,0.121543,0.428655
407,689.368941,688.712000,0.656941,0.451798
408,690.474735,690.184000,0.290735,0.420579
409,692.451684,693.808000,1.356316,0.442124
410,693.176970,693.808000,0.631030,0.433239
411,694.533909,694.400000,0.133909,0.419460
412,695.726336,695.352000,0.374336,0.432420
413,696.626070,697.072000,0.445930,0.426977
414,699.132095,699.136000,0.003905,0.428885
415,700.296739,700.672000,0.375261,0.419416
416,701.301743,701.904000,0.602257,0.450304
417,702.227343,702.376000,0.148657,0.421105
418,704.033839,704.872000,0.838161,0.429734
419,705.125814,705.264000,0.138186,0.420598
420,706.184655,705.872000,0.312655,0.403903
421,708.269071,708.392000,0.122929,0.430649
422,709.229589,708.392000,0.837589,0.429634
423,711.130274,711.912000,0.781726,0.423558
424,711.900290,711.912000,0.011710,0.454651
425,712.749383,712.952000,0.202617,0.442900
426,714.082772,713.528000,0.554772,0.431426
427,716.112396,716.088000,0.024396,0.442942
428,717.482570,717.456000,0.026570,0.455143
429,718.742787,718.696000,0.046787,0.414420
430,719.697101,720.136000,0.438899,0.432943
431,721.351162,721.248000,0.103162,0.420451
432,722.277505,722.280000,0.002495,0.418918
433,723.845821,723.688000,0.157821,0.429194
434,724.562614,724.392000,0.170614,0.413414
435,727.056403,727.032000,0.024403,0.429280
436,728.405482,728.576000,0.170518,0.447481
437,728.758750,728.576000,0.182750,0.454034
438,730.416482,730.624000,0.207518,0.429396
439,731.417355,731.896000,0.478645,0.434020
440,732.818053,732.816000,0.002053,0.464885
441,734.789643,734.824000,0.034357,0.466375
442,735.765459,735.728000,0.037459,0.447776
443,737.052929,737.608000,0.555071,0.413645
444,738.580421,739.088000,0.507579,0.452514
445,739.909524,740.376000,0.466476,0.449166
446,740.573807,740.376000,0.197807,0.437613
447,741.757336,741.464000,0.293336,0.446160
448,743.895013,743.720000,0.175013,0.442265
449,745.344990,746.088000,0.743010,0.431302
450,746.499306,746.256000,0.243306,0.448433
451,747.674564,747.408000,0.266564,0.459301
452,748.242754,748.408000,0.165246,0.443390
453,750.655950,750.336000,0.319950,0.448437
454,750.966381,751.032000,0.065619,0.440293
455,752.887622,751.288000,1.599622,0.442174
456,754.322370,754.752000,0.429630,0.432533
457,755.839309,755.576000,0.263309,0.440485
458,756.768248,756.424000,0.344248,0.449574
459,758.101729,758.120000,0.018271,0.423450
460,758.900238,759.160000,0.259762,0.422354
461,760.282367,760.328000,0.045633,0.427723
462,762.700033,762.800000,0.099967,0.440514
463,763.593066,763.528000,0.065066,0.450800
464,764.307523,763.936000,0.371523,0.459099
465,766.087540,767.288000,1.200460,0.450234
466,767.218472,767.288000,0.069528,0.436483
467,768.281462,768.552000,0.270538,0.444088
468,769.693407,769.712000,0.018593,0.443132
469,771.070839,770.656000,0.414839,0.453219
470,772.961618,772.152000,0.809618,0.436680
471,774.117745,774.376000,0.258255,0.436028
472,775.047847,774.904000,0.143847,0.425681
473,775.999712,775.864000,0.135712,0.417316
474,777.299749,777.536000,0.236251,0.428246
475,779.157077,779.176000,0.018923,0.435165
476,780.348925,779.848000,0.500925,0.449916
477,782.137664,782.496000,0.358336,0.423475
478,782.597944,782.496000,0.101944,0.419460
479,784.288823,783.960000,0.328823,0.422448
480,785.739090,785.592000,0.147090,0.432826
