n,t_n,nearest_minimum_t,delta_n,nearest_null_minimum_t,delta_n_null,bin
166,344.661703,344.144000,0.517703,,0.418530,"[300,650)"
167,346.347871,346.000000,0.347871,,0.384765,"[300,650)"
168,347.272678,347.232000,0.040678,,0.416554,"[300,650)"
169,349.316261,348.728000,0.588261,,0.418642,"[300,650)"
170,350.408419,350.672000,0.263581,,0.423409,"[300,650)"
171,351.878649,351.640000,0.238649,,0.433173,"[300,650)"
172,353.488900,353.568000,0.079100,,0.413454,"[300,650)"
173,356.017575,355.744000,0.273575,,0.420854,"[300,650)"
174,357.151302,356.528000,0.623302,,0.400661,"[300,650)"
175,357.952685,356.528000,1.424685,,0.417992,"[300,650)"
176,359.743755,360.488000,0.744245,,0.430023,"[300,650)"
177,361.289362,361.744000,0.454638,,0.407198,"[300,650)"
178,363.331331,363.896000,0.564669,,0.433471,"[300,650)"
179,364.736024,365.464000,0.727976,,0.405639,"[300,650)"
180,366.212710,366.056000,0.156710,,0.401701,"[300,650)"
181,367.993575,367.976000,0.017575,,0.409746,"[300,650)"
182,368.968438,368.432000,0.536438,,0.407506,"[300,650)"
183,370.050919,368.432000,1.618919,,0.420769,"[300,650)"
184,373.061928,373.104000,0.042072,,0.429793,"[300,650)"
185,373.864874,374.064000,0.199126,,0.444887,"[300,650)"
186,375.825913,375.520000,0.305913,,0.393556,"[300,650)"
187,376.324092,376.816000,0.491908,,0.404777,"[300,650)"
188,378.436680,378.664000,0.227320,,0.414651,"[300,650)"
189,379.872975,380.112000,0.239025,,0.400445,"[300,650)"
190,381.484469,381.152000,0.332469,,0.428158,"[300,650)"
191,383.443529,384.080000,0.636471,,0.433227,"[300,650)"
192,384.956117,384.816000,0.140117,,0.406898,"[300,650)"
193,385.861301,385.392000,0.469301,,0.399973,"[300,650)"
194,387.222890,387.408000,0.185110,,0.392917,"[300,650)"
195,388.846128,388.440000,0.406128,,0.432960,"[300,650)"
196,391.456084,391.464000,0.007916,,0.434222,"[300,650)"
197,392.245083,392.016000,0.229083,,0.430457,"[300,650)"
198,393.427744,393.688000,0.260256,,0.444311,"[300,650)"
199,395.582870,396.336000,0.753130,,0.400085,"[300,650)"
200,396.381854,396.336000,0.045854,,0.397431,"[300,650)"
201,397.918736,397.744000,0.174736,,0.424613,"[300,650)"
202,399.985120,400.184000,0.198880,,0.396318,"[300,650)"
203,401.839229,402.072000,0.232771,,0.409720,"[300,650)"
204,402.861918,403.176000,0.314082,,0.406742,"[300,650)"
205,404.236442,404.232000,0.004442,,0.410110,"[300,650)"
206,405.134387,405.272000,0.137613,,0.398847,"[300,650)"
207,407.581460,408.008000,0.426540,,0.404674,"[300,650)"
208,408.947246,408.528000,0.419246,,0.395355,"[300,650)"
209,410.513869,410.488000,0.025869,,0.427694,"[300,650)"
210,411.972268,411.544000,0.428268,,0.415576,"[300,650)"
211,413.262736,412.768000,0.494736,,0.416662,"[300,650)"
212,415.018810,414.808000,0.210810,,0.410523,"[300,650)"
213,415.455215,414.808000,0.647215,,0.417275,"[300,650)"
214,418.387706,418.528000,0.140294,,0.397460,"[300,650)"
215,419.861365,419.520000,0.341365,,0.409421,"[300,650)"
216,420.643828,419.520000,1.123828,,0.398726,"[300,650)"
217,422.076710,422.336000,0.259290,,0.410567,"[300,650)"
218,423.716580,422.720000,0.996580,,0.419675,"[300,650)"
219,425.069882,425.232000,0.162118,,0.432013,"[300,650)"
220,427.208825,427.248000,0.039175,,0.400799,"[300,650)"
221,428.127914,428.440000,0.312086,,0.394903,"[300,650)"
222,430.328745,429.248000,1.080745,,0.423055,"[300,650)"
223,431.301307,431.968000,0.666693,,0.409294,"[300,650)"
224,432.138642,432.304000,0.165358,,0.418255,"[300,650)"
225,433.889218,433.816000,0.073218,,0.412372,"[300,650)"
226,436.161006,436.200000,0.038994,,0.420167,"[300,650)"
227,437.581698,437.352000,0.229698,,0.435687,"[300,650)"
228,438.621739,438.344000,0.277739,,0.409164,"[300,650)"
229,439.918442,439.400000,0.518442,,0.412906,"[300,650)"
230,441.683199,441.760000,0.076801,,0.434351,"[300,650)"
231,442.904546,443.880000,0.975454,,0.405130,"[300,650)"
232,444.319336,444.680000,0.360664,,0.428840,"[300,650)"
233,446.860623,447.048000,0.187377,,0.420325,"[300,650)"
234,447.441704,447.560000,0.118296,,0.418482,"[300,650)"
235,449.148546,449.000000,0.148546,,0.407647,"[300,650)"
236,450.126946,450.016000,0.110946,,0.416372,"[300,650)"
237,451.403308,451.520000,0.116692,,0.401989,"[300,650)"
238,453.986738,453.344000,0.642738,,0.451002,"[300,650)"
239,454.974684,454.752000,0.222684,,0.412358,"[300,650)"
240,456.328427,456.216000,0.112427,,0.404794,"[300,650)"
241,457.903893,457.544000,0.359893,,0.431697,"[300,650)"
242,459.513415,459.528000,0.014585,,0.443405,"[300,650)"
243,460.087944,459.896000,0.191944,,0.445754,"[300,650)"
244,462.065367,462.280000,0.214633,,0.413499,"[300,650)"
245,464.057287,464.280000,0.222713,,0.406557,"[300,650)"
246,465.671539,465.704000,0.032461,,0.402087,"[300,650)"
247,466.570287,465.704000,0.866287,,0.419943,"[300,650)"
248,467.439046,468.088000,0.648954,,0.412179,"[300,650)"
249,469.536005,469.496000,0.040005,,0.423848,"[300,650)"
250,470.773655,470.912000,0.138345,,0.433805,"[300,650)"
251,472.799175,472.888000,0.088825,,0.431148,"[300,650)"
252,473.835232,474.000000,0.164768,,0.414701,"[300,650)"
253,475.600339,475.736000,0.135661,,0.406401,"[300,650)"
254,476.769015,477.224000,0.454985,,0.405862,"[300,650)"
255,478.075264,478.024000,0.051264,,0.405099,"[300,650)"
256,478.942182,478.904000,0.038182,,0.414032,"[300,650)"
257,481.830339,482.280000,0.449661,,0.439799,"[300,650)"
258,482.834783,482.592000,0.242783,,0.405845,"[300,650)"
259,483.851427,484.568000,0.716573,,0.428388,"[300,650)"
260,485.539148,485.448000,0.091148,,0.414524,"[300,650)"
261,486.528718,487.040000,0.511282,,0.419910,"[300,650)"
262,488.380567,488.784000,0.403433,,0.424185,"[300,650)"
263,489.661762,489.112000,0.549762,,0.420451,"[300,650)"
264,491.398822,491.736000,0.337178,,0.425945,"[300,650)"
265,493.314442,493.200000,0.114442,,0.409565,"[300,650)"
266,493.957998,493.880000,0.077998,,0.426839,"[300,650)"
267,495.358829,496.016000,0.657171,,0.417157,"[300,650)"
268,496.429696,496.016000,0.413696,,0.408908,"[300,650)"
269,498.580782,499.656000,1.075218,,0.399281,"[300,650)"
270,500.309085,500.200000,0.109085,,0.406629,"[300,650)"
271,501.604447,500.952000,0.652447,,0.418612,"[300,650)"
272,502.276270,502.376000,0.099730,,0.408499,"[300,650)"
273,504.499773,504.768000,0.268227,,0.418300,"[300,650)"
274,505.415232,505.400000,0.015232,,0.425913,"[300,650)"
275,506.464153,506.576000,0.111847,,0.399259,"[300,650)"
276,508.800700,508.720000,0.080700,,0.415556,"[300,650)"
277,510.264228,510.400000,0.135772,,0.412099,"[300,650)"
278,511.562290,511.440000,0.122290,,0.447380,"[300,650)"
279,512.623145,512.736000,0.112855,,0.432615,"[300,650)"
280,513.668986,513.392000,0.276986,,0.410164,"[300,650)"
281,515.435057,515.736000,0.300943,,0.408269,"[300,650)"
282,517.589669,517.072000,0.517669,,0.396696,"[300,650)"
283,518.234223,518.928000,0.693777,,0.392650,"[300,650)"
284,520.106310,520.136000,0.029690,,0.401358,"[300,650)"
285,521.525193,521.240000,0.285193,,0.444118,"[300,650)"
286,522.456696,522.592000,0.135304,,0.427173,"[300,650)"
287,523.960531,523.728000,0.232531,,0.400008,"[300,650)"
288,525.077386,525.176000,0.098614,,0.415133,"[300,650)"
289,527.903642,527.128000,0.775642,,0.424513,"[300,650)"
290,528.406214,529.248000,0.841786,,0.419120,"[300,650)"
291,529.806226,529.248000,0.558226,,0.407322,"[300,650)"
292,530.866918,531.640000,0.773082,,0.423524,"[300,650)"
293,532.688183,533.336000,0.647817,,0.393196,"[300,650)"
294,533.779631,533.920000,0.140369,,0.411024,"[300,650)"
295,535.664314,535.640000,0.024314,,0.439274,"[300,650)"
296,537.069759,536.632000,0.437759,,0.410613,"[300,650)"
297,538.428526,538.248000,0.180526,,0.413685,"[300,650)"
298,540.213166,540.792000,0.578834,,0.409225,"[300,650)"
299,540.631390,540.792000,0.160610,,0.413912,"[300,650)"
300,541.847437,541.944000,0.096563,,0.445723,"[300,650)"
301,544.323890,544.512000,0.188110,,0.419719,"[300,650)"
302,545.636833,545.056000,0.580833,,0.422174,"[300,650)"
303,547.010912,546.520000,0.490912,,0.438289,"[300,650)"
304,547.931613,547.816000,0.115613,,0.408322,"[300,650)"
305,549.497568,549.040000,0.457568,,0.439981,"[300,650)"
306,550.970010,550.808000,0.162010,,0.422439,"[300,650)"
307,552.049572,552.200000,0.150428,,0.432138,"[300,650)"
308,553.764972,553.640000,0.124972,,0.418882,"[300,650)"
309,555.792021,555.728000,0.064021,,0.416218,"[300,650)"
310,556.899476,557.032000,0.132524,,0.428218,"[300,650)"
311,557.564659,557.440000,0.124659,,0.425869,"[300,650)"
312,559.316237,559.344000,0.027763,,0.429141,"[300,650)"
313,560.240807,559.608000,0.632807,,0.421188,"[300,650)"
314,562.559208,562.560000,0.000792,,0.416597,"[300,650)"
315,564.160879,564.040000,0.120879,,0.421968,"[300,650)"
316,564.506056,564.040000,0.466056,,0.416515,"[300,650)"
317,566.698788,566.656000,0.042788,,0.405022,"[300,650)"
318,567.731758,567.816000,0.084242,,0.421871,"[300,650)"
319,568.923955,569.400000,0.476045,,0.402869,"[300,650)"
320,570.051115,570.200000,0.148885,,0.401683,"[300,650)"
