n,t_n,nearest_minimum_t,delta_n,nearest_null_minimum_t,delta_n_null,bin
859,1254.431328,1254.128000,0.303328,,0.428475,"[1000,1420)"
860,1255.408231,1255.584000,0.175769,,0.430421,"[1000,1420)"
861,1256.181214,1255.872000,0.309214,,0.420890,"[1000,1420)"
862,1257.541219,1257.320000,0.221219,,0.402737,"[1000,1420)"
863,1258.779233,1259.152000,0.372767,,0.425115,"[1000,1420)"
864,1260.344548,1260.520000,0.175452,,0.387522,"[1000,1420)"
865,1261.611717,1261.624000,0.012283,,0.411243,"[1000,1420)"
866,1262.556614,1262.232000,0.324614,,0.395686,"[1000,1420)"
867,1263.676733,1263.688000,0.011267,,0.419843,"[1000,1420)"
868,1264.957223,1264.784000,0.173223,,0.430486,"[1000,1420)"
869,1266.179038,1266.192000,0.012962,,0.415587,"[1000,1420)"
870,1267.200346,1266.616000,0.584346,,0.422785,"[1000,1420)"
871,1267.570572,1267.976000,0.405428,,0.416658,"[1000,1420)"
872,1270.118922,1269.512000,0.606922,,0.406593,"[1000,1420)"
873,1271.134300,1271.160000,0.025700,,0.382928,"[1000,1420)"
874,1272.083960,1272.280000,0.196040,,0.420367,"[1000,1420)"
875,1273.261145,1273.880000,0.618855,,0.430820,"[1000,1420)"
876,1274.196221,1274.168000,0.028221,,0.402832,"[1000,1420)"
877,1275.092030,1275.056000,0.036030,,0.417520,"[1000,1420)"
878,1276.842172,1277.696000,0.853828,,0.460468,"[1000,1420)"
879,1277.763092,1277.696000,0.067092,,0.431511,"[1000,1420)"
880,1279.332843,1279.112000,0.220843,,0.422450,"[1000,1420)"
881,1280.155794,1279.968000,0.187794,,0.421600,"[1000,1420)"
882,1281.828727,1281.720000,0.108727,,0.421034,"[1000,1420)"
883,1283.000491,1282.984000,0.016491,,0.400323,"[1000,1420)"
884,1283.335032,1282.984000,0.351032,,0.413015,"[1000,1420)"
885,1284.854795,1285.352000,0.497205,,0.405482,"[1000,1420)"
886,1285.695023,1285.792000,0.096977,,0.402270,"[1000,1420)"
887,1287.410027,1288.400000,0.989973,,0.410750,"[1000,1420)"
888,1289.165352,1289.504000,0.338648,,0.435601,"[1000,1420)"
889,1290.104772,1289.504000,0.600772,,0.420548,"[1000,1420)"
890,1290.417708,1289.504000,0.913708,,0.419122,"[1000,1420)"
891,1291.945871,1292.048000,0.102129,,0.432288,"[1000,1420)"
892,1293.493982,1294.312000,0.818018,,0.401607,"[1000,1420)"
893,1294.118474,1294.312000,0.193526,,0.402606,"[1000,1420)"
894,1295.365364,1295.776000,0.410636,,0.413582,"[1000,1420)"
895,1296.801111,1296.976000,0.174889,,0.408745,"[1000,1420)"
896,1298.256527,1298.624000,0.367473,,0.398924,"[1000,1420)"
897,1299.405171,1299.632000,0.226829,,0.401282,"[1000,1420)"
898,1300.490019,1300.720000,0.229981,,0.397246,"[1000,1420)"
899,1301.495517,1301.080000,0.415517,,0.411060,"[1000,1420)"
900,1302.346742,1301.080000,1.266742,,0.409457,"[1000,1420)"
901,1303.273200,1303.640000,0.366800,,0.426068,"[1000,1420)"
902,1305.401672,1305.696000,0.294328,,0.412582,"[1000,1420)"
903,1306.508393,1306.568000,0.059607,,0.443285,"[1000,1420)"
904,1307.267242,1307.712000,0.444758,,0.425865,"[1000,1420)"
905,1308.988197,1309.048000,0.059803,,0.437272,"[1000,1420)"
906,1309.421532,1309.048000,0.373532,,0.435683,"[1000,1420)"
907,1311.056571,1311.072000,0.015429,,0.399507,"[1000,1420)"
908,1311.966941,1311.928000,0.038941,,0.419111,"[1000,1420)"
909,1313.031599,1313.152000,0.120401,,0.406348,"[1000,1420)"
910,1314.052566,1313.456000,0.596566,,0.427576,"[1000,1420)"
911,1316.212113,1316.176000,0.036113,,0.419689,"[1000,1420)"
912,1317.072986,1316.872000,0.200986,,0.430366,"[1000,1420)"
913,1318.171279,1318.728000,0.556721,,0.414738,"[1000,1420)"
914,1318.947881,1319.104000,0.156119,,0.405374,"[1000,1420)"
915,1319.931083,1319.944000,0.012917,,0.398027,"[1000,1420)"
916,1321.628139,1320.960000,0.668139,,0.425454,"[1000,1420)"
917,1322.258067,1322.480000,0.221933,,0.423346,"[1000,1420)"
918,1324.224979,1324.552000,0.327021,,0.412564,"[1000,1420)"
919,1325.237624,1325.920000,0.682376,,0.404190,"[1000,1420)"
920,1325.981970,1325.920000,0.061970,,0.421997,"[1000,1420)"
921,1327.635281,1327.344000,0.291281,,0.428343,"[1000,1420)"
922,1329.043518,1328.968000,0.075518,,0.436524,"[1000,1420)"
923,1329.205019,1328.968000,0.237019,,0.439576,"[1000,1420)"
924,1330.429937,1330.728000,0.298063,,0.419452,"[1000,1420)"
925,1331.827591,1332.104000,0.276409,,0.421324,"[1000,1420)"
926,1333.673523,1333.544000,0.129523,,0.408610,"[1000,1420)"
927,1334.747329,1335.432000,0.684671,,0.424749,"[1000,1420)"
928,1335.694975,1335.432000,0.262975,,0.418210,"[1000,1420)"
929,1336.690185,1336.568000,0.122185,,0.426408,"[1000,1420)"
930,1337.688792,1337.240000,0.448792,,0.420822,"[1000,1420)"
931,1338.923165,1338.856000,0.067165,,0.406236,"[1000,1420)"
932,1340.426400,1340.696000,0.269600,,0.415486,"[1000,1420)"
933,1341.166272,1341.072000,0.094272,,0.417839,"[1000,1420)"
934,1342.608508,1342.464000,0.144508,,0.424560,"[1000,1420)"
935,1344.156044,1343.712000,0.444044,,0.422907,"[1000,1420)"
936,1345.477106,1345.440000,0.037106,,0.438731,"[1000,1420)"
937,1345.731413,1345.440000,0.291413,,0.437245,"[1000,1420)"
938,1347.519472,1347.648000,0.128528,,0.398637,"[1000,1420)"
939,1348.017238,1348.240000,0.222762,,0.397252,"[1000,1420)"
940,1349.085194,1349.688000,0.602806,,0.389954,"[1000,1420)"
941,1351.296206,1351.184000,0.112206,,0.427967,"[1000,1420)"
942,1352.210465,1352.304000,0.093535,,0.422293,"[1000,1420)"
943,1353.483338,1353.544000,0.060662,,0.413298,"[1000,1420)"
944,1353.886782,1353.544000,0.342782,,0.408993,"[1000,1420)"
945,1355.680595,1355.112000,0.568595,,0.443066,"[1000,1420)"
946,1356.605656,1356.680000,0.074344,,0.411639,"[1000,1420)"
947,1357.771743,1358.080000,0.308257,,0.405849,"[1000,1420)"
948,1358.460160,1358.080000,0.380160,,0.401887,"[1000,1420)"
949,1360.393145,1360.624000,0.230855,,0.410470,"[1000,1420)"
950,1361.393075,1360.960000,0.433075,,0.408425,"[1000,1420)"
951,1363.022329,1363.312000,0.289671,,0.420930,"[1000,1420)"
952,1363.879191,1363.680000,0.199191,,0.421660,"[1000,1420)"
953,1364.576585,1365.440000,0.863415,,0.425169,"[1000,1420)"
954,1365.493734,1365.440000,0.053734,,0.421122,"[1000,1420)"
955,1367.104091,1366.960000,0.144091,,0.415691,"[1000,1420)"
956,1368.330193,1368.256000,0.074193,,0.419610,"[1000,1420)"
957,1369.686949,1369.120000,0.566949,,0.413882,"[1000,1420)"
958,1370.973523,1370.776000,0.197523,,0.406135,"[1000,1420)"
959,1371.686554,1372.048000,0.361446,,0.388586,"[1000,1420)"
960,1373.202915,1373.480000,0.277085,,0.419899,"[1000,1420)"
961,1374.154799,1374.624000,0.469201,,0.426293,"[1000,1420)"
962,1375.302392,1375.144000,0.158392,,0.420861,"[1000,1420)"
963,1376.161780,1376.232000,0.070220,,0.427746,"[1000,1420)"
964,1377.177634,1377.208000,0.030366,,0.430639,"[1000,1420)"
965,1379.683283,1380.264000,0.580717,,0.437524,"[1000,1420)"
966,1380.148578,1380.264000,0.115422,,0.436713,"[1000,1420)"
967,1381.073977,1381.176000,0.102023,,0.411858,"[1000,1420)"
968,1382.345663,1382.032000,0.313663,,0.405047,"[1000,1420)"
969,1383.297591,1383.208000,0.089591,,0.399975,"[1000,1420)"
970,1384.444416,1384.592000,0.147584,,0.431570,"[1000,1420)"
971,1385.663777,1385.672000,0.008223,,0.424176,"[1000,1420)"
972,1387.326648,1386.896000,0.430648,,0.419618,"[1000,1420)"
973,1387.921454,1388.264000,0.342546,,0.426536,"[1000,1420)"
974,1389.565832,1390.072000,0.506168,,0.429731,"[1000,1420)"
975,1390.705490,1391.016000,0.310510,,0.424599,"[1000,1420)"
976,1391.853200,1392.024000,0.170800,,0.429802,"[1000,1420)"
977,1392.644028,1392.024000,0.620028,,0.427824,"[1000,1420)"
978,1393.433402,1394.072000,0.638598,,0.410201,"[1000,1420)"
979,1394.884185,1395.232000,0.347815,,0.417652,"[1000,1420)"
980,1396.544163,1396.736000,0.191837,,0.434423,"[1000,1420)"
981,1397.834623,1397.992000,0.157377,,0.423757,"[1000,1420)"
982,1398.837675,1398.688000,0.149675,,0.439786,"[1000,1420)"
983,1399.839473,1400.832000,0.992527,,0.423785,"[1000,1420)"
984,1400.426946,1400.832000,0.405054,,0.422014,"[1000,1420)"
985,1402.564347,1403.464000,0.899653,,0.414781,"[1000,1420)"
986,1402.973748,1403.464000,0.490252,,0.432851,"[1000,1420)"
987,1404.006292,1404.424000,0.417708,,0.423330,"[1000,1420)"
988,1405.666975,1405.568000,0.098975,,0.412878,"[1000,1420)"
989,1407.085143,1406.120000,0.965143,,0.418866,"[1000,1420)"
990,1408.136307,1409.096000,0.959693,,0.398101,"[1000,1420)"
991,1409.320681,1409.456000,0.135319,,0.406935,"[1000,1420)"
992,1410.024811,1409.456000,0.568811,,0.430270,"[1000,1420)"
993,1411.257057,1412.008000,0.750943,,0.404025,"[1000,1420)"
994,1411.965653,1412.008000,0.042347,,0.395638,"[1000,1420)"
995,1413.843149,1413.488000,0.355149,,0.406122,"[1000,1420)"
996,1415.585785,1415.640000,0.054215,,0.443645,"[1000,1420)"
997,1415.781581,1415.640000,0.141581,,0.443788,"[1000,1420)"
998,1417.102823,1416.632000,0.470823,,0.415933,"[1000,1420)"
999,1418.696964,1418.376000,0.320964,,0.411931,"[1000,1420)"
1000,1419.422481,1418.376000,1.046481,,0.425321,"[1000,1420)"
