n,g_n
156,329.3631336971
157,330.9491209086
158,332.5331930980
159,334.1153662589
160,335.6956561494
161,337.2740782970
162,338.8506480033
163,340.4253803488
164,341.9982901975
165,343.5693922012
166,345.1387008039
167,346.7062302458
168,348.2719945679
169,349.8360076151
170,351.3982830412
171,352.9588343117
172,354.5176747079
173,356.0748173306
174,357.6302751034
175,359.1840607763
176,360.7361869285
177,362.2866659726
178,363.8355101567
179,365.3827315684
180,366.9283421371
181,368.4723536375
182,370.0147776920
183,371.5556257739
184,373.0949092098
185,374.6326391825
186,376.1688267335
187,377.7034827656
188,379.2366180452
189,380.7682432051
190,382.2983687465
191,383.8270050415
192,385.3541623354
193,386.8798507487
194,388.4040802795
195,389.9268608055
196,391.4482020861
197,392.9681137644
198,394.4866053692
199,396.0036863169
200,397.5193659134
201,399.0336533560
202,400.5465577350
203,402.0580880359
204,403.5682531407
205,405.0770618298
206,406.5845227835
207,408.0906445841
208,409.5954357167
209,411.0989045715
210,412.6010594449
211,414.1019085411
212,415.6014599737
213,417.0997217668
214,418.5967018567
215,420.0924080933
216,421.5868482412
217,423.0800299811
218,424.5719609113
219,426.0626485486
220,427.5521003300
221,429.0403236135
222,430.5273256793
223,432.0131137316
224,433.4976948988
225,434.9810762354
226,436.4632647226
227,437.9442672697
228,439.4240907151
229,440.9027418271
230,442.3802273053
231,443.8565537812
232,445.3317278196
233,446.8057559192
234,448.2786445138
235,449.7503999732
236,451.2210286037
237,452.6905366497
238,454.1589302941
239,455.6262156593
240,457.0923988078
241,458.5574857435
242,460.0214824123
243,461.4843947027
244,462.9462284468
245,464.4069894211
246,465.8666833472
247,467.3253158923
248,468.7828926705
249,470.2394192430
250,471.6949011190
251,473.1493437564
252,474.6027525626
253,476.0551328950
254,477.5064900614
255,478.9568293214
256,480.4061558863
257,481.8544749201
258,483.3017915401
259,484.7481108173
260,486.1934377773
261,487.6377774005
262,489.0811346232
263,490.5235143375
264,491.9649213924
265,493.4053605943
266,494.8448367071
267,496.2833544533
268,497.7209185142
269,499.1575335302
270,500.5932041020
271,502.0279347904
272,503.4617301170
273,504.8945945649
274,506.3265325790
275,507.7575485663
276,509.1876468968
277,510.6168319035
278,512.0451078830
279,513.4724790960
280,514.8989497678
281,516.3245240885
282,517.7492062135
283,519.1730002642
284,520.5959103277
285,522.0179404581
286,523.4390946761
287,524.8593769700
288,526.2787912955
289,527.6973415766
290,529.1150317057
291,530.5318655440
292,531.9478469218
293,533.3629796391
294,534.7772674654
295,536.1907141409
296,537.6033233759
297,539.0150988519
298,540.4260442214
299,541.8361631085
300,543.2454591091
301,544.6539357913
302,546.0615966957
303,547.4684453357
304,548.8744851975
305,550.2797197410
306,551.6841523995
307,553.0877865805
308,554.4906256655
309,555.8926730106
310,557.2939319467
311,558.6944057797
312,560.0940977907
313,561.4930112367
314,562.8911493503
315,564.2885153403
316,565.6851123917
317,567.0809436662
318,568.4760123026
319,569.8703214163
320,571.2638741004
321,572.6566734254
322,574.0487224397
323,575.4400241696
324,576.8305816197
325,578.2203977733
326,579.6094755920
327,580.9978180167
328,582.3854279671
329,583.7723083425
330,585.1584620216
331,586.5438918630
332,587.9286007051
333,589.3125913666
334,590.6958666465
335,592.0784293244
336,593.4602821605
337,594.8414278962
338,596.2218692539
339,597.6016089373
340,598.9806496315
341,600.3589940036
342,601.7366447023
343,603.1136043583
344,604.4898755848
345,605.8654609771
346,607.2403631131
347,608.6145845536
348,609.9881278421
349,611.3609955053
350,612.7331900530
351,614.1047139785
352,615.4755697584
353,616.8457598532
354,618.2152867073
