n,t_n
172,211.8783227399
173,213.5041816875
174,214.3926937059
175,215.3793404832
176,215.9657170698
177,217.3818789676
178,218.3905635521
179,219.4719824299
180,219.7810183719
181,221.0828102872
182,222.5018288717
183,223.4828950182
184,225.0570628986
185,225.5542524233
186,226.4704873338
187,227.0731438830
188,228.2850157961
189,229.6570178673
190,230.3407951102
191,231.7025465116
192,232.8511312559
193,233.5408983991
194,234.8152052715
195,235.8121508196
196,236.5247915998
197,237.7308794364
198,238.3731313452
199,239.0406223044
200,241.4418836311
201,241.8504853979
202,243.0335620090
203,243.4443772510
204,244.9567706123
205,245.4733177736
206,246.6650751844
207,247.6339183256
208,248.8743715540
209,249.5986877933
210,250.9540772185
211,251.9831428811
212,253.1149694696
213,254.1368251041
214,254.3728302076
215,255.5556681201
216,256.4429559156
217,257.8288579628
218,258.9677852079
219,260.1828913376
220,261.0338509992
221,261.7787137195
222,262.4114345953
223,264.1236815587
224,264.9715981111
225,265.3042821154
226,266.5081019834
227,267.7362243012
228,269.2190228477
229,269.9533251837
230,271.0262293264
231,271.7013050810
232,272.7220699325
233,273.3844312027
234,274.4386751637
235,275.6796619460
236,277.2121605381
237,277.7154338762
238,278.4968476847
239,279.9390811995
240,280.8808780447
241,281.5553637758
242,282.5326174751
243,283.5612978652
244,284.2206321284
245,285.3502031311
246,287.1292049125
247,287.9536858246
248,288.5807685629
249,289.5602808252
250,290.2485368297
251,291.2813726678
252,292.5548356190
253,293.4418802366
254,294.0787544325
255,295.8705661848
256,296.3563191906
257,297.4221737280
258,298.5431444779
259,299.5857352689
260,300.2828599349
261,300.9874704763
262,301.6174335852
263,303.3268766031
264,304.5819619164
265,305.3285588905
266,306.4268276200
267,307.1057955101
268,307.8824900344
269,309.3040747419
270,309.7107002661
271,311.1639540568
272,311.7031663045
273,312.8789865121
274,313.9046442315
275,315.4230728224
276,316.3158026412
277,316.6580119208
278,317.6568525925
279,318.5981348827
280,319.7804181859
281,320.1187997922
282,321.9626519963
283,323.0194115743
284,323.6840299144
285,324.5949698761
286,325.3778383717
287,326.7985201403
288,327.4941435024
289,328.3175456300
290,329.1542891636
291,329.9061278716
292,331.5413805231
293,332.8250681266
294,333.1542483613
295,334.5492710903
296,335.3480411425
297,335.7741709128
298,336.6259424433
299,338.1652688488
300,338.9743945166
301,339.9520341411
302,340.9827829257
303,342.0609821513
304,342.9576506153
305,343.8969742402
306,344.8797021493
307,345.7456637457
308,346.3293063030
309,347.4374520794
310,348.1356124625
311,349.8797636852
312,351.1181736156
313,351.5947745755
314,352.1048146978
315,353.2974880204
316,354.2123315707
317,355.4360070094
318,355.8899679348
319,356.9062727645
320,358.4283534959
321,358.8542022064
322,360.0905090436
323,361.3877738819
324,362.1213385567
325,362.7737838432
326,363.7285359010
327,364.3995798752
328,365.2663762823
329,366.8565500841
330,367.7321479365
331,368.8202249959
332,369.5753852084
333,370.5040594980
334,371.3538371012
335,372.0873765633
336,373.6041039273
337,374.0718051299
338,374.9214980826
339,375.5968378469
340,377.5319337770
341,378.1841769233
342,379.2113149539
343,379.9873149738
344,380.6774181619
345,381.8000753596
346,382.2544947460
347,383.4849951640
348,384.5560683236
349,385.7449032888
350,386.7627490118
351,387.3570772216
352,388.1497494057
353,389.7408589497
354,390.3319440916
