n,t_n
146,224.6434771713
147,225.7097868944
148,226.4295336208
149,228.1659237621
150,230.4464618826
151,231.3930766920
152,232.9611310205
153,234.0050044468
154,234.5388853671
155,236.1421556804
156,236.4640785977
157,239.7919836239
158,241.0210984248
159,241.5447982218
160,242.4171020235
161,244.9786782500
162,245.9873700014
163,249.4514647055
164,250.9379446127
165,251.8493006769
166,252.8641163232
167,253.4986071314
168,254.4976988574
169,257.5860080100
170,258.3397289957
171,259.7785258379
172,260.3374511971
173,261.7901159762
174,262.6625352496
175,263.9695436036
176,264.5175775390
177,267.9169956689
178,268.4678726094
179,269.4749987258
180,270.4249561391
181,271.2715038956
182,272.7101925145
183,273.3830485257
184,276.1469364734
185,278.1831589828
186,279.6919644368
187,280.4180596935
188,281.0952792372
189,282.1486901929
190,283.4476870643
191,286.0849857788
192,287.1124513698
193,288.2624705780
194,288.4801748474
195,290.1598275172
196,291.3919417239
197,292.0836688254
198,293.3396967211
199,294.7110413775
200,296.8150756753
201,297.7860294418
202,298.8294871819
203,299.6947141802
204,300.4065486963
205,303.6732583739
206,304.4147720204
207,305.0514904998
208,306.5506464020
209,307.5232151094
210,308.5086020240
211,309.4001595109
212,311.8434837715
213,314.6358845428
214,314.9650011934
215,315.9262368432
216,316.8582578608
217,320.1935709927
218,321.9450273159
219,322.4257644376
220,323.6054662194
221,324.6460605396
222,325.9376339251
223,326.6350424646
224,327.5899875730
225,328.2826772126
226,330.5120296847
227,331.3222363378
228,332.2657259473
229,333.0949555382
230,334.1997308469
231,334.9901459720
232,336.1962061318
233,337.2907507853
234,338.6873151182
235,339.3929434803
236,340.6420687738
237,342.0356507040
238,342.7887790908
239,343.9037741425
240,344.2286434065
241,345.7583957059
242,346.4969363878
243,348.3496875808
244,350.1719818349
245,351.2570967981
246,351.6783545508
247,353.4909944633
248,354.2792728362
249,354.9579012389
250,358.8589295619
251,359.6300283995
252,360.7351210389
253,361.8366022927
254,362.1862036794
255,366.4106595938
256,366.7283555086
257,368.0445315065
258,368.8837019735
259,370.2251744683
260,370.9049200402
261,372.0142302343
262,373.0169747265
263,376.7979403319
264,377.7160434280
265,378.2336967477
266,379.1787366891
267,383.3952146713
268,385.7976293926
269,386.3474203457
270,388.2000507872
271,388.5531775508
272,389.8243283866
273,390.4023897217
274,393.0976928546
275,395.0522957615
276,396.1574000407
277,396.7975973131
278,397.8678122481
279,398.7838027000
280,400.1933747830
281,400.9187673851
282,401.9531715861
283,403.2003419189
284,404.5397726099
285,405.4870074578
286,406.2417040810
287,407.0451495043
288,408.2455040156
289,408.8357834096
290,411.8571998291
291,412.6743684825
292,413.4403373005
293,414.2547613383
294,415.4049887186
295,416.8372487884
296,417.3290904879
297,418.1031960484
298,420.5424262185
299,422.0526224647
300,422.6836339333
301,424.0674077046
302,424.5861175572
303,425.2811049946
304,426.3118211882
305,430.0628457966
306,430.6500907880
307,432.1253851429
308,432.6996142323
309,433.8670287239
310,435.0449553805
311,435.5359191064
312,437.3367523640
313,439.5154469986
314,440.2175131038
315,441.1145204046
316,441.7447342791
317,442.9206428355
318,443.7893922645
319,447.0034642908
320,448.3952777739
321,448.7260897567
322,450.3074442558
323,451.3984987300
324,452.1727885025
325,452.7369733010
326,453.8358892436
327,456.2973973731
328,457.2601606843
329,458.5230869961
330,459.2767932370
331,459.8865104463
332,461.0075680138
333,462.1379103822
334,464.0533394001
335,467.3904977510
336,468.6173592915
337,469.0722392718
338,470.1850343366
339,471.1524980878
340,471.7319644660
341,474.5501936994
342,475.3620735003
343,476.4155839999
344,476.9655043231
345,479.5985391782
346,479.9012023885
347,481.0639714689
348,481.9403377138
349,484.2938030518
350,485.7130819625
351,486.4353554905
352,487.2293867973
353,488.1725518997
354,488.5867149345
